공모전명,주최,주관,접수기간,분야,응모대상,시상내역,조회수,포스터
2024 구조물 내진설계 경진대회,"부산대학교, (재)국토교통연구인프라운영원",지진방재연구센터,24.05.13 ~ 24.06.28,문학·학술·공학,대학생,"행정안전부장관상, 국토교통부장관상(대만 국제 내진설계 경진대회",0,https://www.all-con.co.kr/data/poster/2405/513135.png?v=1715927665
제7회 학교폭력예방 스마트폰 영상제 수호천사 프로젝트 ”우리가 널 지킬게“,부산광역시교육청,부산일보사 / (사)청년문화진흥협회),24.05.20 ~ 24.07.19,사진·영상,제한없음,학생 부문 대상(2명) 100만원 外,0,https://www.all-con.co.kr/data/poster/2405/513161.jpg?v=1716163674
2024 KDB 스타트업 프로그램 참가팀 모집(~7/4),"KDB산업은행, KDB나눔재단",한국청년기업가정신재단,24.05.13 ~ 24.07.04,아이디어·창업·네이밍,제한없음,"대상 1억원(1팀), 최우수상 5천만원(1팀), 우수상 각1천만원(5팀)",0,https://www.all-con.co.kr/data/poster/2405/513174.jpg?v=1716166141
2024년 경상북도 탄소중립 실천 숏폼 영상 공모전,경상북도 탄소중립지원센터,경상북도 탄소중립지원센터,24.05.20 ~ 24.06.21,사진·영상,기타 (경상북도 도민 ),총 상금 200만원,0,https://www.all-con.co.kr/data/poster/2405/513177.jpg?v=1716178432
제4회 원자력 혁신 창업경진대회,"한국원자력협력재단, 블루포인트파트너스","한국원자력협력재단, 블루포인트파트너스",24.04.30 ~ 24.06.12,아이디어·창업·네이밍,"일반인, 대학생, 대학원생","과학기술정보통신부 장관상(2팀, 각 1,000만원) 外",0,https://www.all-con.co.kr/data/poster/2405/513180.jpg?v=1716178670
2024 KoMap AI 경진대회,"산업통상자원부, 한국산업기술진흥원","한국전자통신연구원, 다이텍연구원",24.05.13 ~ 24.06.14,문학·학술·공학,제한없음,"대상: 1팀 400만원, 최우수상: 2팀 200만원, 우수상: 3팀 100만원",0,https://www.all-con.co.kr/data/poster/2405/513192.png?v=1716948962
2024 제품화지원프로젝트 1기 모집,서울시,서울시기계금속제조지원센터,24.05.17 ~ 24.06.20,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",없음,0,https://www.all-con.co.kr/data/poster/2405/513197.png?v=1716180452
제2회 한국음악저작권협회 논문공모전,한국음악저작권협회,한국음악저작권협회,24.05.20 ~ 24.08.20,문학·학술·공학,"일반인, 대학생, 대학원생","대상 주제별 1편(총 2편) 상금 1,000만 원  外",0,https://www.all-con.co.kr/data/poster/2405/513205.png?v=1716186141
제3회 센터필드 미디어월 영상 콘텐츠 공모전,이지스자산운용,이지스자산운용,24.05.20 ~ 24.06.23,사진·영상,제한없음,"총 3,000만원",0,https://www.all-con.co.kr/data/poster/2405/513208.jpg?v=1716185830
2024 전국 초중고 iM환경일기 대회,DGB금융그룹,-,24.05.20 ~ 24.08.27,문학·학술·공학,"초등학생, 중학생, 고등학생",총 상금 960만원,0,https://www.all-con.co.kr/data/poster/2405/513212.jpg?v=1716955393
NSI 2024 청년 국가재정 마스터,NSI,NSI,24.05.20 ~ 24.06.19,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",총 1600만원,0,https://www.all-con.co.kr/data/poster/2405/513214.jpg?v=1716958971
전남 섬‧해양 관광 활성화 청춘어람 육성사업 4기 참가자 모집,전라남도,재단법인  전라남도관광재단,24.05.20 ~ 24.06.17,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",섬‧해양 관광상품 개발 활동비(1인 500만원) 및 교육비 外,0,https://www.all-con.co.kr/data/poster/2405/513215.png?v=1716955578
제1회 B급 중독예방사생대회,성남시중독관리통합지원센터,성남시중독관리통합지원센터,24.06.01 ~ 24.07.14,디자인·그림·웹툰,"기타 (- 성남시의 시민, 직장인, 학생(만14세 이상))",대상(1작품) : 시상금 100만원 外,0,https://www.all-con.co.kr/data/poster/2405/513234.jpg?v=1716251189
성북구청 ‘2024 성북 참약속 에세이 공모전‘,성북구청,성북구청,24.05.20 ~ 24.06.14,문학·학술·공학,제한없음,"선정작 30편(수상작 6편, 입선작 24편)",0,https://www.all-con.co.kr/data/poster/2405/513235.jpeg?v=1716251235
2024 마포 사진 공모전 별별마포,(재)마포문화재단,(재)마포문화재단,24.05.20 ~ 24.06.30,사진·영상,제한없음,마포상 (1명) : 디지털 폴라로이드 카메라 外,0,https://www.all-con.co.kr/data/poster/2405/513241.png?v=1716258110
2024 해양생물 콘텐츠 공모전,해양수산부 / 국립해양생물자원관,국립해양생물자원관,24.05.21 ~ 24.08.13,디자인·그림·웹툰,제한없음,총 상금 970만원 / 총 수상 인원 50명,0,https://www.all-con.co.kr/data/poster/2405/513244.png?v=1716768810
20224 국제 저작권 보호 공모전,한국저작권보호원,원트리뮤직,24.05.20 ~ 24.06.16,아이디어·창업·네이밍,제한없음,대상 : 한국 1팀 500만 원 / 베트남 1팀 5천 만동  外,0,https://www.all-con.co.kr/data/poster/2405/513246.png?v=1716259160
제19회 한국농촌건축대전,농림축산식품부,한국농어촌공사,24.05.07 ~ 24.07.05,아이디어·창업·네이밍,"일반인, 대학생, 대학원생","대상(1) 500만원, 최우수상(3) 200만원, 우수상(4) 100만원 外",0,https://www.all-con.co.kr/data/poster/2405/513256.jpg?v=1716265258
2025 경남관광박람회 전국축제사진전,경남관광박람회 사무국,경남관광박람회 사무국,24.05.16 ~ 25.01.03,사진·영상,제한없음,"총 작품 수 22점, 총 상금 200만원",0,https://www.all-con.co.kr/data/poster/2405/513258.jpg?v=1716267648
제22회 한국농촌계획대전,농림축산식품부,한국농어촌공사,24.05.07 ~ 24.07.05,아이디어·창업·네이밍,제한없음,"대상(1) 500만원, 최우수상(3) 200만원, 우수상(4) 100만원, 입선(30) 10만원",0,https://www.all-con.co.kr/data/poster/2405/513264.jpg?v=1716341239
세이브더칠드런 아동권리영화제 단편영화 작품공모,세이브더칠드런,세이브더칠드런,24.05.20 ~ 24.08.19,사진·영상,제한없음,대상(1명) 300만 원+공동체 상영료 50만원 外,0,https://www.all-con.co.kr/data/poster/2405/513266.png?v=1716280551
2024 세명대학교 신발디자인 공모전 개최,세명대학교,세명대학교,24.05.21 ~ 24.07.12,디자인·그림·웹툰,"대학생, 중학생, 고등학생","대상(1명) 1,500,000 KRW 外",0,https://www.all-con.co.kr/data/poster/2405/513272.png?v=1716266441
2024 대전광역시 공공데이터 활용 경진대회,대전광역시 등,대전정보문화산업진흥원,24.05.16 ~ 24.06.15,아이디어·창업·네이밍,제한없음,"총 상금 1,650만원 / 아이디어 기획(6점),제품 및 서비스 개발(6점) 총 12점",0,https://www.all-con.co.kr/data/poster/2405/513281.jpg?v=1716278117
제3회 고용노동 공공데이터 활용 공모전,고용노동부,고용노동부,24.03.29 ~ 24.07.21,아이디어·창업·네이밍,제한없음,총 1600 1등400,0,https://www.all-con.co.kr/data/poster/2405/513283.jpg?v=1716278541
2024 광명업사이클아트센터 업사이클 가구 공모전,광명시,광명업사이클아트센터,24.05.21 ~ 24.06.16,디자인·그림·웹툰,"일반인, 대학생, 대학원생, 고등학생","대상1명(150만원), 금상 3명(100만원),   은상5명(50만원), 동상10명(30만원)",0,https://www.all-con.co.kr/data/poster/2405/513287.jpg?v=1716278967
2024년 제주 공공데이터 활용 창업경진대회,"제주특별자치도, 제주지방기상청, JDC, 제주관광공사,제주특별자치도 개발공사",제주 공공데이터 개방 및 품질관리 추진 사업단,24.05.22 ~ 24.06.30,아이디어·창업·네이밍,제한없음,총 상금 1200만원,0,https://www.all-con.co.kr/data/poster/2405/513306.jpg?v=1716340299
2024년 대한민국 편지쓰기 공모전,우정사업본부,"우정인재개발원, 한국우편사업진흥원",24.05.14 ~ 24.09.10,아이디어·창업·네이밍,제한없음,총 600만원,0,https://www.all-con.co.kr/data/poster/2405/513308.jpg?v=1716340761
2024 힐링 영상대회(한국 최초 멍 때리기 동영상 공모),"한국미술진흥원,카파뉴스",힐링 영상대회 운영위원회,24.05.22 ~ 24.11.30,사진·영상,제한없음,대상(유튜브최다조회수 상금각100만원) 外,0,https://www.all-con.co.kr/data/poster/2405/513311.jpg?v=1716353751
제18회 농촌경관 사진·영상 공모전,농림축산식품부,한국농어촌공사,24.05.07 ~ 24.07.05,사진·영상,제한없음,"총 상금 2,190만원",0,https://www.all-con.co.kr/data/poster/2405/513314.jpg?v=1716354641
KBS UGC 공모전,KBS미디어 주식회사,KBS미디어 주식회사,24.05.21 ~ 24.07.21,사진·영상,"대학생, 대학원생, 초등학생, 중학생, 고등학생","총 상금 350만원 (대상 200만원(1명), 우수상 50만원(2명), 입상 5만원(10명)",0,https://www.all-con.co.kr/data/poster/2405/513318.png?v=1716354911
우리 동네 쩝쩝박사 모여라! 간단요리사 전국 요리 자랑,정식품,정식품,24.05.22 ~ 24.07.07,사진·영상,제한없음,100만원 상당의 호텔 숙박권,0,https://www.all-con.co.kr/data/poster/2405/513340.jpg?v=1716358570
세종사이버대학교 경찰학과 제복인의 선행·미담 영상콘텐츠 공모전,세종사이버대학교 경찰학과,세종사이버대학교 경찰학과,24.05.27 ~ 24.10.21,사진·영상,제한없음,"최우수상(1명) : 80만원, 우수상(2명) : 30만원, 장려상(3명) : 20만원",0,https://www.all-con.co.kr/data/poster/2405/513341.png?v=1716426249
2024 KB창작동화제 작품 공모,사회복지법인 아이들과미래재단,사회복지법인 아이들과미래재단,24.05.23 ~ 24.06.19,문학·학술·공학,제한없음,"대상(1) 문화체육관광부장관상 및 상금 1,000만원 外",0,https://www.all-con.co.kr/data/poster/2405/513346.png?v=1716370011
바다내비 활용 우수사례 공모전,해양수산부,한국해양교통안전공단,24.05.17 ~ 24.06.14,문학·학술·공학,"기타 (바다내비 단말기 또는 앱(App.)을 사용중이고「어선법」,「선박법」, 「수상레저안전법」에 따른 어선·선박·수상레저기구의 소유자)","총 60명 시상, 포상금 560만원",0,https://www.all-con.co.kr/data/poster/2405/513349.jpg?v=1716360306
2024년 제26회 수주문학상 작품 공모,부천시,"부천문화재단, 수주문학제운영위원회",24.06.17 ~ 24.07.19,문학·학술·공학,제한없음,"상금 1,000만원 및 상패",0,https://www.all-con.co.kr/data/poster/2405/513352.jpg?v=1716364004
한국방송통신대학교 KNOU 썰튜브 공모전,한국방송통신대학교,한국방송통신대학교,24.05.27 ~ 24.06.27,아이디어·창업·네이밍,제한없음,"대상(1명) 상금 100만 원, 사연 영상화 外",0,https://www.all-con.co.kr/data/poster/2405/513363.png?v=1716364477
KISTI 제1회 슈퍼컴퓨팅 가시화 경진대회 SUPER-VISION CHALLENGE,한국과학기술정보연구원,한국과학기술정보연구원,24.05.30 ~ 24.06.25,사진·영상,"기타 (국가슈퍼컴퓨팅센터 및 전문센터 슈퍼컴퓨터 사용자로서, 가시화에 관심있는 자)",총 시상금 550만 원 (한국과학기술정보연구원장상),0,https://www.all-con.co.kr/data/poster/2405/513375.png?v=1716440146
2024(上) GORI 신인문학상 공모전 4차 접수,초록쿠키,초록쿠키,24.06.01 ~ 24.06.14,문학·학술·공학,일반인,50만원,0,https://www.all-con.co.kr/data/poster/2405/513379.jpg?v=1716423867
"2024 K-STORY IN 영덕 웹소설, 웹툰 공모전",영덕군,알에스미디어,24.05.23 ~ 24.07.14,디자인·그림·웹툰,제한없음,웹소설 및 웹툰 부문 시상,0,https://www.all-con.co.kr/data/poster/2405/513381.jpg?v=1716424383
"리커버리 슬리퍼 바크, 디자인 공모전",주식회사 바크,주식회사 바크,24.05.23 ~ 24.06.30,아이디어·창업·네이밍,제한없음,"선정 될 시, 100만원 + 바크 슬리퍼 2족",0,https://www.all-con.co.kr/data/poster/2405/513382.jpeg?v=1716424516
2024 신보혁신 국민생각 공모전,신용보증기금,신용보증기금,24.05.13 ~ 24.06.30,아이디어·창업·네이밍,제한없음,최우수상 1명(팀) 100만원 外,0,https://www.all-con.co.kr/data/poster/2405/513387.jpg?v=1716426109
고용노동부 육아휴직 수기 공모전,고용노동부,고용노동부,24.05.22 ~ 24.06.27,문학·학술·공학,제한없음,총 상금 1400만원 및 커피차,0,https://www.all-con.co.kr/data/poster/2405/513390.png?v=1716437697
제32회 청소년소월문학상,배재대학교,배재대학교 국어국문·한국어교육학과,24.05.13 ~ 24.06.28,문학·학술·공학,고등학생,"대상(1) 배제대학교 총장상 및 상품, 학비 면제 外",0,https://www.all-con.co.kr/data/poster/2405/513391.png?v=1716427033
FEALAC RUN 독서 마라톤,"외교부, FEALAC 사이버사무국","외교부, FEALAC 사이버사무국",24.05.13 ~ 24.06.12,문학·학술·공학,제한없음,"[참가자 전원] 참가 기념품 우편 증정(책갈피, 컵받침) 外",0,https://www.all-con.co.kr/data/poster/2405/513393.jpg?v=1716438177
제24회 대학(원)생 국제법 논문 경시대회,외교부,대한국제법학회,24.06.01 ~ 24.08.31,문학·학술·공학,"대학생, 대학원생","최우수상(외교부장관상, 300만원) / 우수상(200만원) 外",0,https://www.all-con.co.kr/data/poster/2405/513401.jpg?v=1716439849
제16회 국제법 모의재판 경연대회,외교부,대한국제법학회,24.06.10 ~ 24.08.02,문학·학술·공학,"대학생, 대학원생",최우수상(1팀): 외교부장관상 및 대한국제법학회장 장학금 수여 (600만원) 外,0,https://www.all-con.co.kr/data/poster/2405/513402.jpg?v=1716439980
제45회 서울무용제 4마리백조 페스티벌-춤추는 릴스완(Reelswan) 챌린지,사단법인 대한무용협회,서울무용제조직위원회,24.07.01 ~ 24.07.31,사진·영상,제한없음,총 10팀 / 총 상금 500만원,0,https://www.all-con.co.kr/data/poster/2405/513412.png?v=1716451683
서울시 다국어 관광 안내 표지판 시민신고 캠페인,서울시,더에스엠씨그룹,24.05.03 ~ 24.06.11,아이디어·창업·네이밍,제한없음,온라인 상품권 5만원,0,https://www.all-con.co.kr/data/poster/2405/513419.png?v=1716452568
2024 핀업컨셉디자인어워드,(사)한국산업디자이너협회,(주)인텐시브,24.05.21 ~ 24.07.12,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",상금 및 채용연계형 특전,0,https://www.all-con.co.kr/data/poster/2405/513430.jpg?v=1716454893
제3회 안동 여행기념품 공모전,"문화체육관광부,경상북도,안동시",한국정신문화재단,24.06.17 ~ 24.06.21,아이디어·창업·네이밍,제한없음,"대상 (1명)상금 500만원,금상 (2명)상금 350만원,은상 (3명)상금 300만원,동상 (4명)상금 150만원,장려상 (10명)상금 100만원,",0,https://www.all-con.co.kr/data/poster/2405/513433.jpg?v=1717130705
2024 아름다운 우리말 이름 가게 찾기 공모전,문화체육관광부,동아대학교 국어문화원,24.05.13 ~ 24.06.16,아이디어·창업·네이밍,기타 (부산 외 지역의 가게는 접수 불가),수상자: 1편당 문화상품권 10만 원 / 선정된 가게: 현판 및 문화상품권 5만 원,0,https://www.all-con.co.kr/data/poster/2405/513437.jpg?v=1716768094
2024 제7회 핀테크 아이디어 공모전,금융위원회,한국핀테크지원센터,24.05.20 ~ 24.07.03,아이디어·창업·네이밍,제한없음,"대상 (1개 팀) : 2,000만원 / 우수상 (3개 팀) : 각 1,000만원 外",0,https://www.all-con.co.kr/data/poster/2405/513440.jpg?v=1716768281
제9회 수산자원을 부탁해 - <海피니스:폐어구 재활용  상생해루질 공모전>,"해양수산부, 한국어촌어항공단",아트숨비,24.05.16 ~ 24.07.14,아이디어·창업·네이밍,제한없음,시상금 1천만원 이하,0,https://www.all-con.co.kr/data/poster/2405/513444.jpg?v=1716525336
2024 말톡나우 숏폼 공모전,(주)다이얼커뮤니케이션즈 /말톡,(주)다이얼커뮤니케이션즈 /말톡,24.05.24 ~ 24.06.23,사진·영상,제한없음,1등: 100만원/ 2등:50만원/ 3등:20만원 / 참가상:커피쿠폰,0,https://www.all-con.co.kr/data/poster/2405/513447.jpg?v=1716769011
삼대가 함께하는 제1회 과자체험키트 만들기 대회,아트밸리,아트밸리,24.05.24 ~ 24.07.15,사진·영상,제한없음,"1등(1팀) 100만원, 2등(2팀) 50만원 外",0,https://www.all-con.co.kr/data/poster/2405/513451.png?v=1716769311
2024 서울시 콘텐츠분야 청년창작자 창업지원사업,서울시,(주)맵씨,24.05.13 ~ 24.06.14,디자인·그림·웹툰,기타,온·오프라인 그룹전시회 개최 / 전시 도록 제작 및 매체를 통한 홍보,0,https://www.all-con.co.kr/data/poster/2405/513459.jpg?v=1716770435
제24회 대한민국 청자공모전,강진군,고려청자박물관,24.08.02 ~ 24.08.16,디자인·그림·웹툰,제한없음,"총 상금 32,200,000원  /총 수상자 31인",0,https://www.all-con.co.kr/data/poster/2405/513460.jpeg?v=1716770597
2024 가야역사문화 멀티미디어 공모전,가야고분군 세계유산통합관리지원단,스마트크리에이터,24.05.24 ~ 24.07.12,사진·영상,제한없음,"사진부문 [대상/최우우상/우수상], 웹툰&4컷툰 부문[대상/최우우상/우수상]",0,https://www.all-con.co.kr/data/poster/2405/513471.jpg?v=1716771514
Blaybus 전략기획직무 실전과제 미디어/엔터테인먼트 신사업기획 공모전,Blaybus,Blaybus,24.05.24 ~ 24.06.18,아이디어·창업·네이밍,제한없음,우수팀(총 3팀) 대상 상장 부여,0,https://www.all-con.co.kr/data/poster/2405/513472.png?v=1716771654
제16회 미래내모습그리기대회 모집 공고,고용노동부,한국폴리텍대학,24.06.03 ~ 24.07.19,디자인·그림·웹툰,"초등학생, 중학생, 고등학생, 기타 (유치원생)","총 1,820만",0,https://www.all-con.co.kr/data/poster/2405/513478.jpg?v=1716772729
제7회 이주배경청소년&대학생 온라인 백일장 공모전,숙명여자대학교 아시아여성연구원,숙명여자대학교 아시아여성연구원,24.05.21 ~ 24.09.30,디자인·그림·웹툰,"대학생, 대학원생, 초등학생, 중학생, 고등학생",대상 1편 - 상금 100만원 外,0,https://www.all-con.co.kr/data/poster/2405/513480.jpg?v=1716772917
제17회 한국살이 체험담 현상공모전,숙명여자대학교 아시아여성연구원,숙명여자대학교 아시아여성연구원,24.05.21 ~ 24.09.30,문학·학술·공학,"일반인, 주부 및 영유아","대상 1편 - 상금 200만원,  최우수상 2편 - 상금 100만원 外",0,https://www.all-con.co.kr/data/poster/2405/513481.jpg?v=1716773159
공주여행 100배 즐기기 숏폼 영상 공모전,공주시청,공주시청,24.05.24 ~ 24.07.20,사진·영상,제한없음,총 1천만원 규모,0,https://www.all-con.co.kr/data/poster/2405/513482.jpg?v=1716773280
2024년 인권문화 참여·확산을 위한 인권공모전,국가인권위원회,국가인권위원회,24.06.01 ~ 24.07.14,사진·영상,제한없음,"시상금 영상(200만원) 총 1,500만원 外",0,https://www.all-con.co.kr/data/poster/2405/513488.jpg?v=1716781888
제7회 고흥분청사기 전국 공모전,고흥분청문화박물관,-,24.08.05 ~ 24.08.10,디자인·그림·웹툰,"기타 (국내외 작가(19세이상, 성인))","30명 내외 / 38,000천원 / 상장  ​",0,https://www.all-con.co.kr/data/poster/2405/513490.jpg?v=1716782321
샤크(SHARK) 자율주행대회,성남시,"성남산업진흥원, 모라이",24.05.27 ~ 24.06.14,문학·학술·공학,"대학생, 대학원생","대상(1팀) 200만 원, 최우수상(1팀) 100만 원, 우수상(4팀) 50만 원",0,https://www.all-con.co.kr/data/poster/2405/513507.jpg?v=1716959238
제41회 영농생활수기 공모,농민신문사,농민신문사,24.05.20 ~ 24.07.01,문학·학술·공학,제한없음,총 상금 1600만원,0,https://www.all-con.co.kr/data/poster/2405/513508.png?v=1716794149
제9회 학교 흡연예방 및 금연 작품 공모전,서울특별시교육청,서울특별시교육청보건안전진흥원,24.05.27 ~ 24.08.09,사진·영상,"초등학생, 중학생, 고등학생, 기타","최우수상: 300,000원 상당 부상 및 교육감상",0,https://www.all-con.co.kr/data/poster/2405/513516.png?v=1716794979
2024 제7회 학생독립운동 113초 영화제,광주학생독립운동기념회관,광주학생독립운동기념회관,24.05.27 ~ 24.09.20,사진·영상,"중학생, 고등학생",대상1팀 국가보훈부장관상(150만원) 등,0,https://www.all-con.co.kr/data/poster/2405/513520.jpg?v=1716799840
창업 인큐베이팅 경진대회 2024 참가자 모집 공고 with 동국대학교,중소벤처기업부,창업진흥원,24.05.13 ~ 24.06.14,아이디어·창업·네이밍,제한없음,"상장 32점, 상금 총 28.2백만원",0,https://www.all-con.co.kr/data/poster/2405/513525.png?v=1716800175
제8회 국방과학기술대제전 브릭 모형 제작 & 웹툰 아이디어 공모전 안내,방위사업청,한국방위산업진흥회,24.05.27 ~ 24.07.18,아이디어·창업·네이밍,"일반인, 대학생, 초등학생, 중학생, 고등학생",1등: 방위사업청장상 시상 및 100만원 수여 外,0,https://www.all-con.co.kr/data/poster/2405/513526.jpg?v=1716800237
하나금융그룹 하나 디지털 파워 온 프로젝트 3기 모집,하나금융그룹,아이들과미래재단,24.05.27 ~ 24.06.23,아이디어·창업·네이밍,"대학생, 대학원생","총 상금 3,000만원",0,https://www.all-con.co.kr/data/poster/2405/513528.jpg?v=1716854520
2024 CJ대한통운 미래기술 챌린지,CJ대한통운,CJ대한통운,24.05.20 ~ 24.06.16,아이디어·창업·네이밍,"일반인, 대학생, 기타","채용특전 및 총 상금 2,100만원",0,https://www.all-con.co.kr/data/poster/2405/513531.jpg?v=1716855386
2024 광주 아시아건축국제공모전 (일반공모전+아이디어공모전),광주광역시,"사.광주건축단체연합회,사.한국건축가협회 광주전남건축가회",24.07.31 ~ 24.08.16,아이디어·창업·네이밍,제한없음,"대상(1) 문화체육관광부 장관상, 상금 1,000만원 外",0,https://www.all-con.co.kr/data/poster/2405/513533.png?v=1716856275
제11회 전국 무한상상 과학탐구 서바이벌대전,김천시,김천시,24.06.01 ~ 24.06.30,문학·학술·공학,"초등학생, 중학생, 고등학생","총 2,070만원 (대상 200만원 外)",0,https://www.all-con.co.kr/data/poster/2405/513551.jpg?v=1716886348
제23회 전파분야 대학(원)생 논문 공모,"한국방송통신전파진흥원, 한국전자파학회","한국방송통신전파진흥원, 한국전자파학회",24.07.01 ~ 24.08.19,문학·학술·공학,대학원생,1등 상금 500만원 外,0,https://www.all-con.co.kr/data/poster/2405/513553.jpg?v=1716879521
나만의 픽! 남해안 걷기여행 코스 공모전,경상남도 관광재단,경상남도 관광재단,24.04.30 ~ 24.07.29,아이디어·창업·네이밍,제한없음,"상금 1,800,000원",0,https://www.all-con.co.kr/data/poster/2405/513554.jpg?v=1716880136
2024 RecurDyn Simulation 경진대회,펑션베이(주),펑션베이(주),24.06.24 ~ 24.06.26,문학·학술·공학,"대학생, 대학원생","금상 200만원, 은상 100만원, 동상 50만원",0,https://www.all-con.co.kr/data/poster/2405/513557.jpg?v=1716879850
제16회 제주국제사진 공모전,동아일보사·제주특별자치도,-,24.06.03 ~ 24.09.09,사진·영상,제한없음,"총 6,600,000 원 (총 22 명)",0,https://www.all-con.co.kr/data/poster/2405/513558.jpg?v=1716880012
2024 국세청 웹툰 공모전,국세청,국세청,24.05.28 ~ 24.08.25,디자인·그림·웹툰,"일반인, 대학생",금상 (1명) : 상금 300만원 外,0,https://www.all-con.co.kr/data/poster/2405/513563.jpg?v=1716885197
2024 제3회 경기도예술영화제 단편영화 공모,(사)한국영화인협회 경기도지회,GAFF집행위원회,24.06.24 ~ 24.08.15,사진·영상,"일반인, 대학생, 대학원생, 고등학생","학생부 최우수작품상, 우수작품상 外",0,https://www.all-con.co.kr/data/poster/2405/513564.jpg?v=1716885318
"인천공항 청렴윤리, 인권 대국민 공모전",인천국제공항공사,인천국제공항공사,24.05.27 ~ 24.06.30,아이디어·창업·네이밍,제한없음,총상금 560만,0,https://www.all-con.co.kr/data/poster/2405/513565.jpg?v=1716885583
휘경동 골목에 낭만의 바람을 불어넣을 참여팀을 모집합니다,"서울시립대학교 캠퍼스타운사업단, 동대문문화재단","서울시립대학교 캠퍼스타운사업단, 동대문문화재단",24.05.27 ~ 24.06.13,아이디어·창업·네이밍,"일반인, 대학생, 대학원생","프로젝트 참여비: 150만원(참여팀 전체), 상금: 최대 100만원(최대)",0,https://www.all-con.co.kr/data/poster/2405/513566.jpg?v=1716885978
2024년 우리가 바라는 안전한 학교 공모전,한국교육시설안전원,한국교육시설안전원,24.04.11 ~ 24.06.28,사진·영상,제한없음,"1등 100만원(부문별 상이) 총 2,400만원 外",0,https://www.all-con.co.kr/data/poster/2405/513582.jpg?v=1716948370
2024울산조선해양축제 기발한 배 콘테스트,울산조선해양축제추진위원회,울산조선해양축제추진위원회,24.05.20 ~ 24.06.28,아이디어·창업·네이밍,제한없음,부문별 상이,0,https://www.all-con.co.kr/data/poster/2405/513592.jpg?v=1717027182
'내가 만드는 해치' 콘텐츠 2차 공모전,서울특별시,서울특별시,24.05.29 ~ 24.07.31,사진·영상,제한없음,"총 1,420만원의 상금",0,https://www.all-con.co.kr/data/poster/2405/513595.jpg?v=1717027660
2024 파주시 유튜브 영상공모전 파주의 미,파주시청,파주시청,24.06.03 ~ 24.06.28,사진·영상,제한없음,총 330만원,0,https://www.all-con.co.kr/data/poster/2405/513604.png?v=1717028605
다시 쓰는 성공기 제12회 재도전 사례 공모전,중소벤처기업부,중소벤처기업부,24.05.23 ~ 24.06.28,아이디어·창업·네이밍,제한없음,대상(1점) : 중소벤처기업부 장관상 및 500만원 外,0,https://www.all-con.co.kr/data/poster/2405/513608.png?v=1717028850
상병수당 시범사업 체험수기 공모전,국민건강보험공단,국민건강보험공단,24.05.29 ~ 24.06.28,문학·학술·공학,기타 (상병수당 시범사업 운영지역 수혜자 또는 수혜자 가족),최우수상 1명 100만원 등,0,https://www.all-con.co.kr/data/poster/2405/513610.jpg?v=1717029066
2024 마포문화재단 지역예술가 전시공간 지원사업 참여작가 공모,마포문화재단,마포문화재단,24.05.20 ~ 24.06.28,디자인·그림·웹툰,기타,전시공간 제공 등,0,https://www.all-con.co.kr/data/poster/2405/513615.jpg?v=1717029703
2024 고망고 영상 공모전,고망고,고망고,24.06.01 ~ 24.07.10,사진·영상,제한없음,"대상(1명) : 상금 200만원, 최우수상(1명) : 상금 100만원 外",0,https://www.all-con.co.kr/data/poster/2405/513621.jpg?v=1717049285
꿈다락 리모델링 아이디어 공모전,구세군,구세군,24.05.31 ~ 24.06.23,아이디어·창업·네이밍,제한없음,총 6명 선발 시상 [상장과 상품],0,https://www.all-con.co.kr/data/poster/2405/513627.jpg?v=1717047421
생명보험사회공헌재단 사회공헌사업 통합 BI 디자인 콘테스트,생명보험사회공헌재단,생명보험사회공헌재단,24.05.29 ~ 24.07.07,디자인·그림·웹툰,제한없음,"1등 300만원 x 1명, 2등 100만원 x 1명",0,https://www.all-con.co.kr/data/poster/2405/513628.png?v=1717047664
19회 부산국제어린이청소년영화제 영화 포스터 그림 공모,(사)부산국제어린이청소년영화제,(사)부산국제어린이청소년영화제,24.05.16 ~ 24.06.14,디자인·그림·웹툰,"초등학생, 중학생, 고등학생",멋진미래상 / 밝은미래상 / 선명한미래상 / 어깨동무상,0,https://www.all-con.co.kr/data/poster/2405/513632.png?v=1717047918
2024년 공개SW 개발자대회,과학기술정보통신부,정보통신산업진흥원,24.05.29 ~ 24.07.04,아이디어·창업·네이밍,제한없음,"시상금 1등 1,000만원 총 5,800만원 이외 포스터 이미지 및 공식 홈페이지 참고",0,https://www.all-con.co.kr/data/poster/2405/513633.jpg?v=1717048206
2024년도 제23회 국립공원 사진 공모전,국립공원공단,국립공원공단,24.06.17 ~ 24.07.31,사진·영상,제한없음,"총 상금 4,000만원(80개 작품)",0,https://www.all-con.co.kr/data/poster/2405/513634.jpg?v=1717048396
2024 Jewerly POP-UP 카피라이팅 공모전,프리즘,브랜드유,24.05.28 ~ 24.06.18,아이디어·창업·네이밍,"대학생, 대학원생",총금액: 120만원 이하 / 1등 시상: 50만원 外,0,https://www.all-con.co.kr/data/poster/2405/513635.jpg?v=1717048608
