공모전명,주최,주관,접수기간,분야,응모대상,시상내역,조회수,포스터
2024 현대모비스 임팩트 아이디어 챌린지,현대모비스,현대모비스,24.04.29 ~ 24.06.26,아이디어·창업·네이밍,"일반인, 대학생, 대학원생","대상 500만원, 우수상 300만원, 인기상 100만원",0,https://www.all-con.co.kr/data/poster/2405/512641.JPG?v=1714728195
제 11회 2024 대한민국청소년기자대상,서울특별시,시립청소년미디어센터,24.01.01 ~ 24.09.27,사진·영상,"중학생, 고등학생","서울특별시장상, 여성가족부장관상 및 방송국이사장상 外",0,https://www.all-con.co.kr/data/poster/2405/512647.png?v=1715040518
2024 스토리 공모전,"문화체육관광부, 울산광역시","한국콘텐츠진흥원, 울산정보산업진흥원, 울산콘텐츠코리아랩",24.08.16 ~ 24.08.30,아이디어·창업·네이밍,기타 (울산 지역민 대상(만 14세 이상)),"상금 총 1,100만원",0,https://www.all-con.co.kr/data/poster/2405/512666.jpg?v=1715054747
2024 울산 웹툰 공모전,"문화체육관광부, 울산광역시","한국콘텐츠진흥원, 울산정보산업진흥원, 울산콘텐츠코리아랩",24.08.16 ~ 24.08.30,디자인·그림·웹툰,기타 (울산 지역민 대상(만 14세 이상) / 개인 또는 팀(2인 이내) ※ 웹툰작가 지원불가),"상금 총 1,000만원",0,https://www.all-con.co.kr/data/poster/2405/512668.jpg?v=1715055048
제6회 서울교육 데이터 분석 · 활용 아이디어 공모전,서울특별시교육청,서울특별시교육청,24.05.07 ~ 24.06.30,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 초등학생, 중학생, 고등학생",총 상금 700만원,0,https://www.all-con.co.kr/data/poster/2405/512675.jpg?v=1715056210
2024 영천시 숏폼 콘텐츠 공모전 공고,영천시청,영천시청,24.05.07 ~ 24.07.31,사진·영상,제한없음,"영천시장상 및 시상금 수여(총 15명, 700만원)",0,https://www.all-con.co.kr/data/poster/2405/512691.png?v=1715068308
2024년 독거노인 인식개선 콘텐츠 공모전 안내,부산시독거노인종합지원센터,-,24.06.03 ~ 24.07.31,사진·영상,"일반인, 대학생, 대학원생, 초등학생, 중학생, 고등학생, 기타 (노인)","3,550,000원 상당",0,https://www.all-con.co.kr/data/poster/2405/512714.jpg?v=1715126757
2024 김삿갓문화제 전국민화공모전,영월군,조선민화박물관,24.07.25 ~ 24.08.14,디자인·그림·웹툰,일반인,"상금 총액 9,000만원",0,https://www.all-con.co.kr/data/poster/2405/512725.png?v=1715134751
2024 전국초등학생민화공모전,영월군,조선민화박물관,24.07.05 ~ 24.07.22,디자인·그림·웹툰,초등학생,상장 및상품,0,https://www.all-con.co.kr/data/poster/2405/512731.jpg?v=1715135508
2024년 캠퍼스온에어 숨쉬는 지구,"시청자미디어재단, KBS",서울시청자미디어센터,24.05.07 ~ 24.06.28,사진·영상,대학생,상금(총상금 : 590만원 / 1위 : 250만원),0,https://www.all-con.co.kr/data/poster/2405/512734.jpg?v=1715135656
제10회 교보손글씨대회,"교보문고, 대산문화재단, 교보생명",손글쓰기문화확산위원회,24.05.02 ~ 24.07.10,디자인·그림·웹툰,제한없음,으뜸상 (10명) 교보문고 상품권 100만원 + 부상 外,0,https://www.all-con.co.kr/data/poster/2405/512738.jpg?v=1715144778
인천과학문화거점센터 쉽게 접할 수 있는 과학문화 숏폼 영상 콘테스트,인천광역시,인천과학문화거점센터,24.05.07 ~ 24.07.31,사진·영상,제한없음,"1등: 인천 과학문화거점센터 홍보 영상 대상, 150만 원 外",0,https://www.all-con.co.kr/data/poster/2405/512743.png?v=1715148859
2024년 통계데이터 활용대회,통계청,(재)한국통계진흥원,24.05.08 ~ 24.06.21,아이디어·창업·네이밍,제한없음,"대상 500만원 1팀, 최우수 300만원 2팀 外",0,https://www.all-con.co.kr/data/poster/2405/512745.jpg?v=1715149033
목재 인테리어 공모전 나무와 우리의 공간,한국임업진흥원,한국임업진흥원,24.04.29 ~ 24.06.28,사진·영상,제한없음,"대상(1명), 상업공간 부문(3명), 주거공간 부문(3명) 外",0,https://www.all-con.co.kr/data/poster/2405/512748.jpg?v=1715149247
