공모전명,포스터,주최,주관,접수기간,분야,응모대상,시상내역
도서관의날·도서관주간 도서관 이용 수기 공모전,/data/poster/2403/510471.jpg?v=1712294760,"도서관위원회,문화체육관광부","도서관위원회,문화체육관광부",24.03.07 ~ 24.04.05,문학·학술·공학,제한없음,대상 1건 문화상품권 30만원 外
국립재난안전연구원 소셜기자단 모집,/data/poster/2403/510472.jpg?v=1710122624,국립재난안전연구원,국립재난안전연구원,24.03.08 ~ 24.03.22,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",기자단 위촉장 부여 등
"광고편집디자인(일러스트,포토샵,인디자인) 실무자 양성",/data/poster/2403/510473.png?v=1710123067,그린컴퓨터아트학원,그린컴퓨터아트학원,24.03.11 ~ 24.03.31,,제한없음,"훈련비 100% 전액지원, 훈련장려금 지급 外"
"디지털디자인 Figma활용 UI/UX반응형웹 디자인, 퍼블리셔 프론트엔드",/data/poster/2403/510474.png?v=1710123203,그린컴퓨터아트학원,그린컴퓨터아트학원,24.03.11 ~ 24.03.31,,제한없음,"훈련비 100% 전액지원, 훈련장려금 지급"
코드잇 대학생 코딩 캠프 16기 모집,/data/poster/2403/510475.jpg?v=1710122530,코드잇,코드잇,24.03.11 ~ 24.03.17,기타(캠프/강연 등),대학생,"보너스 수강 기간, 활동 인증서, 꿀팁 노트 外"
"영상편집디자인 크리에이터(방송,광고,게임)프리미어,에펙,모션,C4D",/data/poster/2403/510476.png?v=1710123312,그린컴퓨터아트학원,그린컴퓨터아트학원,24.03.11 ~ 24.04.05,,,"훈련비 100% 전액지원, 훈련장려금 지급"
굿네이버스 경기동부사업본부 인형극팀 봉사자 모집 안내,/data/poster/2403/510477.jpg?v=1710123388,굿네이버스 경기동부사업본부,굿네이버스 경기동부사업본부,24.03.11 ~ 24.04.12,봉사활동,"일반인, 대학생",봉사시간 발급(최소 40시간)
한국언론진흥재단 2024년 미디어 스타트업 지원 사업 공모,/data/poster/2403/510478.jpg?v=1710128715,한국언론진흥재단,한국언론진흥재단,24.03.12 ~ 24.04.02,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타 (개인사업자 및 법인사업자(예비창업자 포함))","개발비 지원(1社 최대 3,000만 원 이내)"
굿네이버스 서울인천권역본부 취준생을 위한 대외활동 인성업클 5기 모집,/data/poster/2403/510479.jpg?v=1710124363,굿네이버스 서울인천권역본부,굿네이버스 서울인천권역본부,24.03.11 ~ 24.04.01,서포터즈·기자단·마케터,제한없음,"인성역량 강화과정 자격증, 인적성 검사 外"
서울시립남부장애인종합복지관 인권 그림책 만들기 모두의 이야기 참여 신청,/data/poster/2403/510480.jpg?v=1710128675,서울시립남부장애인종합복지관,서울시립남부장애인종합복지관,24.03.07 ~ 24.03.20,봉사활동,"일반인, 대학생, 대학원생, 주부 및 영유아","자원봉사시간, 공동의 그림책 출판회 外"
제14회 제주 공공디자인 공모전,/data/poster/2403/510481.jpg?v=1710132460,제주특별자치도,제주특별자치도,24.06.17 ~ 24.07.01,디자인·그림·웹툰,제한없음,"총 상금 1,000만원"
2024년도 무역안보 크리에이터 모집(추가모집),/data/poster/2403/510482.jpg?v=1711347195,전략물자관리원,전략물자관리원,24.03.08 ~ 24.04.12,서포터즈·기자단·마케터,제한없음,"활동비 지급 (월별 미션 완수 시), 우수 활동자 기관장 표창 外"
한입 FE 챌린지1기 모집,/data/poster/2403/510483.png?v=1710134490,한입 스튜디오,한입 스튜디오,24.03.11 ~ 24.03.22,기타(캠프/강연 등),제한없음,없음
해커스 IT 역량 강화 서포터즈 1기 모집,/data/poster/2403/510484.jpg?v=1710134809,해커스교육그룹,해커스교육그룹,24.03.11 ~ 24.03.17,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","온라인 강좌 제공, 수료증, 백화점 상품권 2만원 권 증정 外"
2024 전북 나눔공정무역 청년 서포터즈,/data/poster/2403/510485.jpg?v=1710133128,전북특별자치도 / 전주시,사)한국여성소비자연합전북지회,24.03.11 ~ 24.03.28,서포터즈·기자단·마케터,"일반인, 대학생",봉사활동 시간 外
2024년도 대구 남구 토탈뷰티 제조 서비스 전문인력 양성 및 청년창업 활성화교육 1기 모집,/data/poster/2403/510486.jpg?v=1710135103,키핑클래스,"대구테크노파크, 영남이공대학",24.03.04 ~ 24.03.31,,제한없음,전회차무료교육
인천디자인서포터즈 14기 모집 공고,/data/poster/2403/510487.jpg?v=1710133397,"인천광역시,(재)인천테크노파크",(재)인천테크노파크,24.03.11 ~ 24.03.31,서포터즈·기자단·마케터,"대학생, 대학원생","참여활동 인증서 제공, 활동비 지급 外"
Java 기반 DevOps 개발자 양성 훈련 과정,/data/poster/2403/510488.png?v=1710135359,한국소프트웨어기술진흥협회,한국소프트웨어기술진흥협회,24.03.11 ~ 24.05.06,,,없음
미래세대 기후환경 영상 공모전,/data/poster/2403/510489.jpg?v=1710134088,환경부,환경부,24.03.08 ~ 24.04.07,사진·영상,"초등학생, 중학생",대상 (부문별 1명(팀)) 환경부장관상 및 상금100만원 外
부마민주항쟁기념재단 제6기 부마 기자단 모집,/data/poster/2403/510490.jpg?v=1710134295,부마민주항쟁기념재단,부마민주항쟁기념재단,24.03.13 ~ 24.04.16,서포터즈·기자단·마케터,제한없음,기자단 활동 보상비 10만원 지급
B2C 분야 초기 스타트업을 위한 디캠프 4월 디데이 출전팀 모집,/data/poster/2403/510491.jpg?v=1710135505,은행권청년창업재단,은행권청년창업재단,24.02.28 ~ 24.03.17,아이디어·창업·네이밍,제한없음,디캠프 최대 3억원 투자 外
대저페리와 함께하는 울릉도 독도 유튜브 공모전,/data/poster/2403/510492.jpg?v=1710135645,(주)대저페리,(주)대저페리,24.03.01 ~ 24.03.20,사진·영상,제한없음,대상 300만원 / 금상 100만원 / 은상 50만원
경상북도개발공사 공공데이터 인포그래픽 공모전,/data/poster/2403/510493.png?v=1710137792,경상북도개발공사,경상북도개발공사,24.03.04 ~ 24.04.15,디자인·그림·웹툰,"일반인, 대학생, 대학원생, 중학생, 고등학생","1등 80만원, 2등 60만원, 3등 40만원"
2024 언리얼엔진을 활용한 애니메이션 실무기반 교육과정 참가기업 및 인턴 모집 공고,/data/poster/2403/510494.png?v=1710137967,문화체육관광부·한국콘텐츠진흥원,한국애니메이션산업협회,24.03.07 ~ 24.03.21,,기타 (모집 공고 포스터 확인),기타
2024 제15회 대구꽃박람회 15기 서포터즈 모집,/data/poster/2403/510495.png?v=1710137597,대구광역시,EXCO,24.03.11 ~ 24.03.27,서포터즈·기자단·마케터,제한없음,"초청권(5매) 제공, 출입증 제공 外"
2024 LOVE FNC 청소년 문화예술 교육지원사업 참가자 모집 기간 연장,/data/poster/2403/510496.png?v=1711701750,LOVE FNC,LOVE FNC,24.03.17 ~ 24.04.07,,,LOVE FNC 문화예술(실용음악) 트레이닝
다음 항목에 오류가 있습니다.,,,,,,,
2024 수원시 아동참여위원회 대학생 멘토  모집,/data/poster/2403/510498.png?v=1710138236,"수원시 아동돌봄과 아동친화팀, 굿네이버스 경기수원지부","수원시 아동돌봄과 아동친화팀, 굿네이버스 경기수원지부",24.03.04 ~ 24.04.03,서포터즈·기자단·마케터,"대학생, 대학원생","수원시장 명의의 위촉상 수여, 봉사시간 外"
연수구가족센터 다문화가족 자녀 멘토링 '꿈토링' 멘토 모집,/data/poster/2403/510499.png?v=1710140322,연수구가족센터,연수구가족센터,24.03.05 ~ 24.03.25,봉사활동,제한없음,"1회 봉사활동(2시간) 또는 활동비(25,000원) 지급, 다문화이해교육 제공"
나의 병역이야기 공모전,/data/poster/2403/510500.png?v=1713422288,병무청,병무청,24.03.11 ~ 24.06.28,사진·영상,제한없음,"총 35편, 1900만원"
"2024년도 청년지원공모 청년이, 해봄 6기 모집",/data/poster/2403/510501.jpg?v=1710147900,성남시청년지원센터 청년이봄,성남시청년지원센터 청년이봄,24.03.06 ~ 24.03.19,기타(캠프/강연 등),"일반인, 대학생, 대학원생","팀당 활동지원금 100만원, 모임공간지원 등"
2024 한-아프리카 정상회의 지원요원 모집,/data/poster/2403/510502.png?v=1710140959,외교부,외교부,24.03.08 ~ 24.03.31,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타",참가증서 교부
디지털 일러스트 공모전,/data/poster/2403/510503.jpg?v=1710141067,서울호서전문학교,서울호서전문학교,24.02.29 ~ 24.09.30,디자인·그림·웹툰,고등학생,"총 9개(명), 상금 총 240만원 및 입학 장학금"
[서브원]유튜브 댓글 이벤트 (네이버페이 1만원권 (10명)),/data/poster/2403/510504.jpg?v=1710139770,서브원,이루다마케팅,24.03.11 ~ 24.03.19,,,네이버 페이쿠폰 1만원권 (10명)
충북대학교병원 충북지역암센터 암예방 홍보단 4기 모집,/data/poster/2403/510505.png?v=1710141226,충북대학교병원 충북지역암센터,충북대학교병원 충북지역암센터,24.03.11 ~ 24.05.10,서포터즈·기자단·마케터,대학생,"활동 수료증 발급, 우수활동자 지역암센터 소장 표창 外"
"중앙회화대전 2024, 경계를 넘어",/data/poster/2403/510506.jpg?v=1710203462,중앙일보,아람비,24.03.11 ~ 24.06.21,디자인·그림·웹툰,제한없음,"대상 1,000만원"
신청해(신한이 청년을 응원해) 참가자 모집,/data/poster/2403/510507.png?v=1710141590,"고용노동부, 신한금융희망재단","고용노동부, 신한금융희망재단",24.03.11 ~ 24.03.24,기타(캠프/강연 등),"대학생, 대학원생, 기타","정주비 1인당 최대 300만원 지원, 학습공간 이용료 1인당 최대 120만원 지원"
AJ토탈 호치킨 Ho기심 천국 공모,/data/poster/2403/510508.png?v=1710144088,AJ토탈,AJ토탈,24.03.11 ~ 24.03.31,아이디어·창업·네이밍,제한없음,상세내용 참고
2024 청소년운영위원회W 신규위원 모집,/data/poster/2403/510509.png?v=1710144207,분당서현청소년수련관,분당서현청소년수련관,24.03.11 ~ 24.03.22,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생, 중학생, 고등학생","VMS봉사시간, 각종 대외활동 수상경력, 표창 外"
다음 항목에 오류가 있습니다.,,,,,,,
제17기 통일부 유니콘 기자단 모집,/data/poster/2403/510511.png?v=1710144810,통일부,통일부,24.03.11 ~ 24.04.01,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","기타,활동 사례비,우수 기자 및 기사 시상,우수 기자 장관 표창 등"
2024 디자인제작전문그룹,/data/poster/2403/510512.jpg?v=1710144921,시립청소년미디어센터,시립청소년미디어센터,24.03.01 ~ 24.03.24,기타(캠프/강연 등),"중학생, 고등학생",.
법정단체 출범 10주년 기념 중견기업 홍보 서포터즈 모집,/data/poster/2403/510513.jpg?v=1710145180,한국중견기업연합회,한국중견기업연합회,24.03.11 ~ 24.04.01,서포터즈·기자단·마케터,"대학생, 대학원생",월 2회 이상 영상 제작 시 활동비 지급(월 10만 원)
(기간연장)제 1기 헬스앤뷰티 스타트업 엑스프리베 서포터즈 모집,/data/poster/2403/510514.png?v=1710146370,엑스프리베,엑스프리베,24.03.11 ~ 24.04.11,서포터즈·기자단·마케터,대학생,활동 종료 후 수료증 지급 및 뷰티 시술 및 클래스 무료 체험 가능
2024 국방부 EBS 교육멘토링 온라인 멘토 모집,/data/poster/2403/510515.png?v=1710836476,국방부,EBS,24.03.11 ~ 24.03.28,봉사활동,"대학생, 대학원생",멘토링 활동비(활동 완료시 일괄 지급) 外
생산품질 경영관리 사무원 양성과정,/data/poster/2403/510516.jpg?v=1710146533,THE국제직업전문학교,THE국제직업전문학교,24.03.11 ~ 24.03.29,기타(캠프/강연 등),제한없음,훈련비 100% 전액 지원
2024 MG희망나눔 청년주거 장학사업 내집잡기 7기 모집,/data/poster/2403/510517.jpg?v=1710146867,MG새마을금고 지역희망나눔재단,-,24.03.11 ~ 24.04.07,봉사활동,기타 (만 18세 이상),"주거비용(월세) 지원, 1인당 월 최대 35만원씩 6회 지원 (총 210만원)"
2024년 전기·에너지·자원 ISC 유튜브 채널명 공모전,/data/poster/2403/510518.jpg?v=1710146976,전기·에너지·자원산업 인적자원개발위원회,전기·에너지·자원산업 인적자원개발위원회,24.03.11 ~ 24.03.22,아이디어·창업·네이밍,제한없음,스타벅스 텀블러 및 케카맨 굿즈(Goods)
2024 울산동구 사진/숏폼 공모전,/data/poster/2403/510519.png?v=1710146969,울산광역시 동구,울산광역시 동구,24.09.01 ~ 24.09.30,사진·영상,제한없음,"총 상금 1,300만원"
모두의 보컬 스터디 6기 멤버 모집,/data/poster/2403/510520.jpeg?v=1710287658,모두의 보스,모두의 보스,24.03.04 ~ 24.03.29,,제한없음,
2024년 보령시 이공사오 청년창업 지원사업 (예비)창업자 모집,/data/poster/2403/510521.jpg?v=1710202215,보령시청 지역경제과,(사)한국능률협회,24.03.11 ~ 24.03.20,,,"창업비 지원 (팀당 최대 20,000천원 이내 / 분야별 차등 지원)"
2024 N.E.X.T. 애니메이션 졸업작품 지원사업,/data/poster/2403/510522.jpg?v=1710202495,(주)스튜디오미르 (주)레드독컬처하우스,N.E.X.T 운영위원회,24.03.04 ~ 24.03.22,사진·영상,대학생,"팀 당 최대 1,000만 원 지원(총 4팀)"
2024 Apple Vision Pro XR 앱 아이디어 공모전,/data/poster/2403/510523.jpg?v=1710231572,주식회사 위에이알,주식회사 위에이알,24.03.11 ~ 24.04.12,아이디어·창업·네이밍,제한없음,"대상 100만원, 최우수상 50만원, 우수상 20만원"
한국전통문화전당 시민 기자단 전통아띠 모집,/data/poster/2403/510524.jpg?v=1710203491,(재)한국전통문화전당,(재)한국전통문화전당,24.03.11 ~ 24.03.22,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 고등학생, 주부 및 영유아, 기타","소정의 활동비 지원, 주최 행사의 우선 참여 기회 제공 外"
월간 밀리로드 3월 창작 지원 프로젝트,/data/poster/2403/510525.jpg?v=1710203197,밀리의 서재,밀리로드,24.03.04 ~ 24.03.31,문학·학술·공학,"일반인, 대학생, 대학원생, 고등학생, 주부 및 영유아","총 상금 1,000만 원"
시니어 커머스 플랫폼 가따줘 렌딩 페이지 공모전,/data/poster/2403/510526.png?v=1710203356,주식회사 브링,주식회사 브링,24.03.12 ~ 24.03.22,디자인·그림·웹툰,제한없음,대상 100만원 금상 30만원 은상10만원
2024 울산콘텐츠코리아랩 마케팅 강화 지원 사업,/data/poster/2403/510527.jpg?v=1710207413,울산정보산업진흥원,울산정보산업진흥원,24.03.11 ~ 24.04.08,디자인·그림·웹툰,"일반인, 기타 (본사 소재지가 울산인 창업 3년 이내 콘텐츠 기업)",총 3200 만원 / 8개 사 (기업당 최대 400만원)
2024년 상반기 노들섬 홍보 서포터즈 모집,/data/poster/2403/510528.jpg?v=1710204128,,서울문화재단,24.03.08 ~ 24.03.18,서포터즈·기자단·마케터,"일반인, 대학생",
제2회 서울시립대학교 도시인문학연구소 문화평론상 공모,/data/poster/2403/510529.png?v=1710204495,,서울시립대학교 도시인문학연구소,24.03.07 ~ 24.04.30,문학·학술·공학,대학생,
다음 항목에 오류가 있습니다.,,,,,,,
2024 일주학술문화재단 32기 국내학사 멘토링 장학생 모집,/data/poster/2403/510531.jpg?v=1710204865,,일주학술문화재단,24.03.11 ~ 24.03.29,봉사활동,대학생,3천만원~1천만원
2024년 사람도서관 서포터즈 모집 공고,/data/poster/2403/510532.png?v=1710205171,시흥시청,,24.03.06 ~ 24.03.18,서포터즈·기자단·마케터,,"활동비, 봉사시간 外"
김가네 제 11회 어린이 그림공모전,/data/poster/2403/510533.jpg?v=1710205511,김가네,,24.03.11 ~ 24.04.15,디자인·그림·웹툰,초등학생,1천만원 이하
제20회 횡성한우축제 프로그램 기획공모전,/data/poster/2403/510534.jpg?v=1710205873,횡성문화관광재단,,24.03.08 ~ 24.03.22,아이디어·창업·네이밍,제한없음,1천만원 이하
환경재단 2024 바다쓰담 지원사업 공모,/data/poster/2403/510535.jpg?v=1710207124,환경재단,환경재단,24.03.11 ~ 24.03.31,서포터즈·기자단·마케터,제한없음,활동비 500만원
연세대학생을 위한 투자강연회,/data/poster/2403/510536.png?v=1710207601,이베스트투자증권,"FM스쿨, 연세대학교 실전 가치투자학회 YIG",24.03.12 ~ 24.03.28,,,"참석자 웰컴키트, 해외투자 수수료쿠폰, 스타벅스 교환권 外"
2024 행운담길 로컬크리에이터 모집,/data/poster/2403/510537.jpg?v=1710206513,서울시 생활상권 육성사업,행운동생활상권,24.03.08 ~ 24.03.23,서포터즈·기자단·마케터,"일반인, 대학생, 고등학생, 기타",원고료 外
제16회 서울국제노인영화제 트레일러 공모전,/data/poster/2403/510538.jpg?v=1710206876,서울노인복지센터,서울국제노인영화제(서울노인복지센터),24.03.07 ~ 24.03.20,사진·영상,제한없음,1천만원 이하
수원컨벤션센터 수원 마이스터즈 6기 모집,/data/poster/2403/510539.png?v=1710207815,수원컨벤션센터,수원컨벤션센터,24.03.11 ~ 24.03.31,서포터즈·기자단·마케터,제한없음,"수원 MICE 행사 참여기회, 활동비 지원 外"
2024 청소년미디어번역봉사단(온라인봉사),/data/poster/2403/510540.png?v=1710216926,시립청소년미디어센터,시립청소년미디어센터,24.02.29 ~ 24.03.29,봉사활동,"일반인, 대학생, 초등학생, 중학생, 고등학생","소정의 활동비(멘토), 봉사활동시간(청소년봉사단), 활동확인서(공통)"
다음 항목에 오류가 있습니다.,,,,,,,
다음 항목에 오류가 있습니다.,,,,,,,
브랜드저널리즘 콘텐츠크리에이터 2024-2기 모집,/data/poster/2403/510543.jpg?v=1710217154,애드플래닛커뮤니케이션,애드플래닛커뮤니케이션,24.03.12 ~ 24.03.20,서포터즈·기자단·마케터,"일반인, 대학생","활동비 지급, 희망시 활동 증명서 발급"
제5기 꿈꾸는 디케 프로젝트 모집,/data/poster/2403/510544.png?v=1710216690,법무부,법무부,24.03.06 ~ 24.03.22,서포터즈·기자단·마케터,"초등학생, 중학생, 고등학생",동아리 활동 지원금 최대 80만원 지원
다음 항목에 오류가 있습니다.,,,,,,,
서울청년센터 노원 서포터즈 노랑 4기 모집,/data/poster/2403/510546.png?v=1710220884,서울청년센터 노원,서울청년센터 노원,24.03.12 ~ 24.03.26,서포터즈·기자단·마케터,제한없음,"사은품 지급, 수료증 및 인증서"
하이서울유스호스텔 대학생 운영위원 하이영 12기 모집,/data/poster/2403/510547.jpg?v=1710221005,시립하이서울유스호스텔,시립하이서울유스호스텔,24.03.12 ~ 24.03.26,서포터즈·기자단·마케터,대학생,"위촉장 및 수료증 발급, 우수활동자표창 外"
제3회 아이코리아 아이그리다 공모전,/data/poster/2403/510548.jpg?v=1710221123,사단법인 아이코리아,사단법인 아이코리아,24.04.01 ~ 24.04.30,디자인·그림·웹툰,"주부 및 영유아, 기타 (만 3세 ~ 만 5세)",상금 및 상품
클라우드 엔지니어 부트캠프 국비지원,/data/poster/2403/510549.png?v=1710221235,한국정보교육원,고용노동부,24.03.12 ~ 24.04.15,,제한없음,취업연계
백엔드 개발자 부트캠프 국비지원,/data/poster/2403/510550.png?v=1710221312,한국정보교육원,고용 노동부,24.03.12 ~ 24.12.31,,,취업 연계
프론트엔드 개발자 취업 부트캠프 국비지원,/data/poster/2403/510551.png?v=1710221381,한국정보교육원,고용노동부,24.03.19 ~ 24.12.31,,제한없음,취업 연계
경기도청년식품안전정책단,/data/poster/2403/510552.png?v=1710304535,경기도,경기도식품안전정책지원단,24.03.12 ~ 24.04.05,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","활동증명서 교부, 자원봉사활동 시간 인정 外"
다음 항목에 오류가 있습니다.,,,,,,,
대구광역시청소년수련원 청소년방과후아카데미 참가 청소년 모집,/data/poster/2403/510554.jpg?v=1710221689,여성가족부 / 대구광역시,여성가족부 / 대구광역시,24.01.01 ~ 24.12.31,기타(캠프/강연 등),초등학생,전액무료
2025년 사천시 통합 30주년의 해 시민과 함께하는 기념사업 아이디어 공모전,/data/poster/2403/510555.jpg?v=1710221878,사천시,사천시,24.03.06 ~ 24.04.30,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타 (경상남도 주민)",(1등) 100만원 外
다음 항목에 오류가 있습니다.,,,,,,,
2024년 ESG 아이디어톤 참여자 모집,/data/poster/2403/510557.jpg?v=1710226531,동대문구청,동대문구ESG경제지원센터,24.03.01 ~ 24.03.22,아이디어·창업·네이밍,기타 (동대문구 생활권자 참여 필수),총 상금 100만원 상당
다음 항목에 오류가 있습니다.,,,,,,,
의료기기 RA 전문가 과정 직업교육훈련 교육생 모집,/data/poster/2403/510559.jpg?v=1710227330,인천새일센터,여성가족부,24.03.25 ~ 24.04.04,,"대학생, 대학원생, 기타 (이공계 계열 학과 졸업생 및 졸업예정자 청년층 여성)",선발시 훈련비 : 전액 무료(국비 지원) 外
"전액국비무료 IT 교육생 모집(빅데이터, 프론트엔드개발자)",/data/poster/2403/510560.png?v=1710231795,부산양정인력개발센터,고용노동부,24.03.12 ~ 24.04.04,,,"전액국비무료&매월 교육수당 최대 816,000원 제공"
청년 해외연수 프로그램 장애청년드림팀 6대륙에 도전하다 2024년 단원 모집,/data/poster/2403/510561.jpg?v=1710228655,"신한금융그룹, 한국장애인재활협회",한국장애인재활협회,24.03.08 ~ 24.03.31,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생, 기타 (만 18~34세의 청년)",해외연수 비용 전액지원(관련 국내활동비 포함)
다음 항목에 오류가 있습니다.,,,,,,,
진동리국민여가캠핑장 무료 숙박 및 리뷰 이벤트!,/data/poster/2403/510563.jpg?v=1710223943,임팩시스,임팩시스,24.03.11 ~ 24.03.31,,,무료 숙박권 및 굿즈
은평창업지원센터 베트남 Startup Wheel 2024 참여자 추가모집,/data/poster/2403/510564.png?v=1710228798,은평창업지원센터,은평창업지원센터,24.03.12 ~ 24.03.24,기타(캠프/강연 등),기타 (은평구 스타트업),"전시회 참가, 바이어 상담, 현지 참여 기업 네트워킹"
2024년 제4회 울청스타 학과체험 부스 운영팀 모집,/data/poster/2403/510565.jpg?v=1710228152,울산광역시,울산광역시청소년활동진흥센터,24.03.11 ~ 24.03.28,"기타(예체능, e스포츠 등)",대학생,학과 체험 부스로 선정되면 부스운영비 50만원 지급
2024 서대문구 청년 네트워크 8기 모집(조기마감),/data/poster/2403/510566.jpg?v=1711441751,서대문구,청년정책과,24.03.12 ~ 24.03.26,기타(캠프/강연 등),기타 (서대문구 거주/활동 청년 (만 19~39세)),"회의참석 시 회의수당 지급 (예산범위 내), 활동증명서 外"
관광/MICE/컨벤션 마케팅 실무교육생 대모집,/data/poster/2403/510567.png?v=1710226846,부산예일직업전문학교,부산예일직업전문학교,24.03.12 ~ 24.04.30,,제한없음,아래 혜택란 참고
성남시 청소년 참여 위원회,/data/poster/2403/510568.jpg?v=1710227975,분당정자청소년수련관,분당정자청소년수련관,24.03.12 ~ 24.03.24,체험단·모니터링·인턴십,"대학생, 중학생, 고등학생",성남시장 명의의 위촉장 부여/ 활동비 지급 (교통비 명목) 外
다음 항목에 오류가 있습니다.,,,,,,,
다음 항목에 오류가 있습니다.,,,,,,,
2024 isms-p 무료설명회,/data/poster/2403/510571.jpg?v=1710228912,솔데스크,솔데스크,24.03.12 ~ 24.04.01,,제한없음,isms-p무료 설명회 / 2024 최신자료
UN산업개발기구 통역 자원봉사자 모집,/data/poster/2403/510572.jpg?v=1710229069,UNIDO ITPO Korea,UNIDO ITPO Korea,24.03.12 ~ 24.03.14,봉사활동,"일반인, 대학생, 대학원생",UNIDO 통역자원봉사 인증서 및 소정의 기념품 外
24기 북한인권 아카데미 수강생 모집,/data/poster/2403/510573.jpg?v=1710229718,NKDB 남북사회통합교육원,(사)북한인권정보센터,24.02.16 ~ 24.03.17,,제한없음,12주 강의 중 8회 이상 출석시 수료증
국토안전관리원 크리에이터 서포터즈 국토누리 4기 모집,/data/poster/2403/510574.jpg?v=1710229535,국토안전관리원,국토안전관리원,24.03.11 ~ 24.03.31,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",활동비 월 40만원 지원(총 200만원)
2024 상반기 코드클럽 찾아가는 SW교육기부단 대학생 봉사단 모집,/data/poster/2403/510575.png?v=1710381175,(사)코드클럽한국위원회,(사)코드클럽한국위원회,24.03.11 ~ 24.04.07,봉사활동,"대학생, 대학원생","1365 봉사시간 지급, 활동키트 지급, 수료증 발급 外"
[무료 설명회] AI 서비스기획 스터디 온라인 설명회,/data/poster/2403/510576.jpg?v=1710228856,웅진씽크빅X유데미,유데미,24.03.12 ~ 24.03.14,,,-
제 2회 메가스터디 아이디어 공모전,/data/poster/2403/510577.png?v=1710231139,메가스터디교육(주),메가스터디교육(주),24.03.08 ~ 24.04.28,아이디어·창업·네이밍,제한없음,총 상금 : 1천만원
(기간연장)채용연계형 정보보호 컨설턴트 양성과정 2기 교육생 추가모집,/data/poster/2403/510578.jpg?v=1710231286,부산광역시,부산정보산업진흥원,24.03.12 ~ 24.03.22,기타(캠프/강연 등),"일반인, 대학생","30만원씩 3개월간 총 90만원 지급, 교육비 및 교재비 무료 外"
법무법인JK 분사 서포터즈 17기 모집,/data/poster/2403/510579.png?v=1710231964,법무법인JK,법무법인JK,24.03.13 ~ 24.03.21,서포터즈·기자단·마케터,"대학생, 대학원생",법무법인JK 대표변호사 직접 수료증 발급 外
2024년 시흥시청소년상담복지센터 또래상담활성화 사업 보조인력 모집,/data/poster/2403/510580.png?v=1710232431,시흥시청소년상담복지센터,,24.03.07 ~ 24.03.22,기타(캠프/강연 등),기타 (청소년상담복지 분야의 학사 재학(3학년 이상)인자),활동비 지급
뷰티브랜드 닥터뉴엘 서포터즈 뉴에르 2기 모집,/data/poster/2403/510581.png?v=1710288105,닥터뉴엘,닥터뉴엘,24.03.11 ~ 24.03.20,서포터즈·기자단·마케터,제한없음,"서포터즈 수료증 발급, 웰컴키트, 닥터뉴엘 제품제공 外"
다음 항목에 오류가 있습니다.,,,,,,,
다음 항목에 오류가 있습니다.,,,,,,,
2024 전주시새활용센터 다시봄 입주기업 모집,/data/poster/2403/510584.jpg?v=1710381145,전주시,전주시새활용센터 다시봄,24.03.08 ~ 24.03.21,아이디어·창업·네이밍,일반인,"사무공간, 교육 및 네트워킹 지원"
리그미디어 웹소설 공모전,/data/poster/2403/510585.png?v=1710288910,주식회사 리그미디어,주식회사 리그미디어,24.03.13 ~ 24.04.05,문학·학술·공학,제한없음,대상 상금 100만원ꞏ웹소설 정식 연재의 기회
현대자동차 H스타일리스트 9기 앰버서더 모집,/data/poster/2403/510586.png?v=1710289161,현대자동차,현대자동차,24.03.11 ~ 24.03.18,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",활동 기간 중 전기차 지원
"세종 우리누리 13기 멘토, 임원진 모집",/data/poster/2403/510587.png?v=1710289580,세종 우리누리,세종 우리누리,24.03.12 ~ 24.04.02,봉사활동,대학생,"봉사시간 부여, 위촉장 발급, 활동 우수자 표창 外"
2024년 청소년 카페 창업 동아리 모집,/data/poster/2403/510588.png?v=1710304515,강동구립 둔촌청소년문화의집,강동구립 둔촌청소년문화의집,24.03.13 ~ 24.04.24,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 중학생, 고등학생","카페 전문 교육 및 역량강화 교육, 위촉장 발급, 해당 활동 참여 시 봉사시간 지급"
경남관광재단 외국인 서포터즈 GITTO-S 모집,/data/poster/2403/510589.jpg?v=1710290164,경남관광재단,,24.03.12 ~ 24.03.31,서포터즈·기자단·마케터,"일반인, 대학생","위촉장, 활동비 外"
2024 GKL Eyes+ 모집(기간연장),/data/poster/2403/510590.jpg?v=1710836134,그랜드코리아레저(주),그랜드코리아레저(주),24.03.12 ~ 24.04.07,서포터즈·기자단·마케터,제한없음,우수 활동자 포상금 지급 및 소통활동 참여자 모바일 상품권 지급
