공모전명,포스터,주최,주관,접수기간,분야,응모대상,시상내역
프리페어(FreeFair) 신규 컨설턴트 모집,/data/poster/2401/509090.png?v=1706685015,프리페어,프리페어,24.02.01 ~ 24.02.29,기타(캠프/강연 등),대학생,"활동 증명서 발급, 입시 컨설턴트로의 활동 경험"
4·19혁명국민문화제 제1회 전국 4·19 합창대회,/data/poster/2401/509091.jpg?v=1706686845,"4·19민주혁명회, 4·19혁명희생자유족회, 4·19혁명공로자회, 강북구",4·19혁명국민문화제위원회,24.03.11 ~ 24.03.22,"기타(예체능, e스포츠 등)","일반인, 대학생, 대학원생","대상(국가보훈부장관상, 상금500만원), 최우수상(서울시장상, 상금300만원), 우수상(강북구청장상, 상금200만원) 등"
제8기 인제군 SNS 홍보기자단 모집,/data/poster/2401/509092.jpg?v=1706687383,인제군,소소리장,24.01.29 ~ 24.02.12,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 기타","원고료 및 위촉장, 기자단증 발급 外"
시공사 출판사 서포터즈 월간시공단 1기,/data/poster/2401/509093.jpg?v=1706688407,시공사 출판사,시공사 출판사,24.02.01 ~ 24.02.13,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","신간 도서 제공, 저자 북토크 참여 기회, 활동 종료 후 활동 인증서 및 굿즈 증정 外"
관광 서비스 수용태세 점검단 일반인 서포터즈 모집,/data/poster/2401/509094.png?v=1706690608,문화체육관광부,한국관광공사,24.01.29 ~ 24.02.06,서포터즈·기자단·마케터,일반인,한국관광공사 사장 명의 임명장 및 수료증 수여 外
굿네이버스 인천사업본부 NGO봉사단 14기 모집,/data/poster/2401/509095.jpg?v=1706746309,굿네이버스 인천사업본부,굿네이버스 인천사업본부,24.01.30 ~ 24.02.16,봉사활동,"일반인, 대학생, 대학원생","봉사시간 인증(VMS), 우수 봉사자 시상 및 활동 기념품 제공, 입사시 가산점"
다음 항목에 오류가 있습니다.,,,,,,,
다음 항목에 오류가 있습니다.,,,,,,,
성동청소년문화의집 MZ마음상담소 1:1 무료 개인상담 참여자 모집,/data/poster/2401/509098.jpg?v=1706746651,성동청소년문화의집,성동청소년문화의집,24.01.15 ~ 24.12.31,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 주부 및 영유아, 기타 (만19세~39세 청년)",무료 심리상담 및 심리검사
INTERNATIONAL YOUTH FINE ART AWARD 국제 청소년 미술공모전,/data/poster/2401/509099.png?v=1706746971,White Bridge,White Bridge,24.01.15 ~ 24.03.06,디자인·그림·웹툰,"중학생, 고등학생, 기타 (재수생, N수생(고등학교졸업))","Diamond 미국 국회의원상, Platinum 미국 시장상, Gold 미국 시의원상 外"
<한성 소셜 임팩트 프로젝트 : START COURSE> 참여자 모집,/data/poster/2401/509100.jpg?v=1706747158,"한성대학교 캠퍼스타운 사업단, 서울캠퍼스타운, 서울특별시, 성북구, 한성대학교",(주)디끄,24.01.31 ~ 24.02.14,기타(캠프/강연 등),"일반인, 대학생, 대학원생",2024 한성대학교 캠퍼스타운사업단 입주기업 신청 시 서류심사 면제 外
