대외활동명,포스터,주최,주관,접수기간,분야,응모대상,혜택
전공소개 영상 제작 대학생 멘토 모집,/data/poster/2302/491874.png?v=1675754276,소다란 입시컨설팅,소다란 입시컨설팅,23.02.07 ~ 23.10.31,서포터즈·기자단·마케터,"대학생, 대학원생",소정의 금액 및 활동인증서 발급
2023년 원주시시설관리공단 고객 모니터링단 모집,/data/poster/2302/491875.jpg?v=1675753713,원주시시설관리공단,원주시시설관리공단,23.01.30 ~ 23.02.17,체험단·모니터링·인턴십,제한없음,모니터링 활동에 대한 별도 보상기준 마련 (분기별 3만원 상당)
한국지역난방공사 홍보 슬로건 공모전,/data/poster/2302/491876.jfif?v=1675754262,한국지역난방공사,한국지역난방공사,23.02.07 ~ 23.02.20,아이디어·창업·네이밍,제한없음,최우수상 상금 70만원 지급 外
2023년 대구 서구청소년수련관 청소년참여위원회 우.간다 7기 모집,/data/poster/2302/491877.png?v=1675754053,대구서구청소년수련관,대구서구청소년수련관,23.02.04 ~ 23.02.28,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타",서구청장 명의의 위촉장 수여 外
리얼리서치 학술조사를 부탁해! 조사서비스 프로모션,/data/poster/2302/491878.png?v=1675754307,미디어리얼리서치코리아,미디어리얼리서치코리아,23.02.01 ~ 23.04.30,Not found,,조사서비스 비용 혜택 지원
2023 역사문화콘텐츠운용사 양성 아카데미 수강생 모집,/data/poster/2302/491879.jpg?v=1675754350,"문화재청, 충청남도, 천안시",우리역사문화협동조합,23.02.13 ~ 23.03.10,기타(캠프/강연 등),"일반인, 대학생, 대학원생","80%이상 출석시 수료증 발급, 민간자격증 外"
제1회 아주경제 보훈 신춘문예 공모,/data/poster/2302/491880.jpg?v=1675755025,"아주경제신문, (사)한민회","아주경제신문, (사)한민회",23.02.07 ~ 23.03.31,문학·학술·공학,"일반인, 대학생, 대학원생, 초등학생",전체대상 1명 : 200만원 外
기획 교육을 듣고 축제 현장을 함께할 1986PLAYER 모집,/data/poster/2302/491881.png?v=1675756414,(주)1986프로덕션,(주)1986프로덕션,23.02.06 ~ 23.02.19,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","활동 수료증 발급, 1986프로젝트 참가 기회 부여(활동비 지급) 外"
창비 서포터즈 16기 모집,/data/poster/2302/491882.jpg?v=1675756208,창비,창비,23.02.02 ~ 23.02.09,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","매월 희망 도서 증정, 활동 종료 후 수료증 발급 外"
과천문화재단 영상 제작 서포터즈 모집,/data/poster/2302/491883.jpg?v=1676539453,과천문화재단,과천문화재단,23.02.07 ~ 23.02.16,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 고등학생","인터뷰, 촬영 시 활동비 지원 / 과천문화재단 기획공연 관람 / 활동우수자 표창"
주니어생글생글 창간 1주년 이벤트,/data/poster/2302/491884.jpg?v=1675829538,주니어생글생글,주니어생글생글,23.02.06 ~ 23.03.15,Not found,,"6개월 신청 시 1개월 추가, 12개월 신청 시 2개월 추가 外"
동탄어울림종합사회복지관 온라인 학습멘토링 봉사자 모집,/data/poster/2302/491885.jpg?v=1675758264,동탄어울림종합사회복지관,동탄어울림종합사회복지관,23.02.06 ~ 23.03.05,봉사활동,"대학생, 대학원생",자원봉사활동 시간 인증 가능 外
"선배한테 듣는 ♨23학번 대학생활 가이드♨ 캐강한 새내기생활 무료 신청중, 선착순 50명 스벅깊티까지! (~2/28)",/data/poster/2302/491886.png?v=1675757547,진학사,진학사,23.02.07 ~ 23.02.28,Not found,,기타
초록우산어린이재단 부산종합사회복지관 대학생 놀이 서포터즈 모집,/data/poster/2302/491887.jpg?v=1675757583,초록우산어린이재단 부산종합사회복지관,초록우산어린이재단 부산종합사회복지관,23.02.03 ~ 23.02.16,서포터즈·기자단·마케터,대학생,VMS 봉사시간 등록 外
시립마포청소년센터 YNBC방송중계팀 4기 활동단원 모집,/data/poster/2302/491888.jpg?v=1675759028,시립마포청소년센터,특화사업팀,23.02.01 ~ 23.03.02,기타(캠프/강연 등),"중학생, 고등학생",장비 우선 대여 및 봉사시간 제공 外
시립마포청소년센터 YNBC콘텐츠기획팀 6기 활동단원 모집,/data/poster/2302/491889.png?v=1675759407,시립마포청소년센터,특화사업팀,23.02.01 ~ 23.03.02,체험단·모니터링·인턴십,"중학생, 고등학생",유스나루 방송·미디어 시설 및 장비 사용가능 外
시립마포청소년센터 YNBC홍보마케팅팀 4기 활동단원 모집,/data/poster/2302/491890.png?v=1675759216,시립마포청소년센터,특화사업팀,23.02.01 ~ 23.03.02,서포터즈·기자단·마케터,"대학생, 고등학생",월 1회 이상 식비 지원 外
삼성 나눔과꿈 프렌디지털 서포터즈 3기,/data/poster/2302/491891.jpg?v=1678754668,안산본오종합사회복지관,사회복지공동모금회,23.03.07 ~ 23.04.30,서포터즈·기자단·마케터,"일반인, 대학생",자원봉사시간 인증 및 우수자원봉사자상 추천 가능 外
대학생연합 합창봉사동아리 천사들의 합창 신입단원 모집,/data/poster/2302/491892.jpg?v=1675815154,천사들의 합창,천사들의 합창,23.01.30 ~ 23.02.23,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타",봉사활동 시 VMS 봉사시간 부여
문화예술봉사단메리 합창 프로젝트 단원 '메리한싱어즈' 모집,/data/poster/2302/491893.png?v=1675814339,사단법인 문화예술봉사단메리,사단법인 문화예술봉사단메리,23.01.23 ~ 23.02.09,봉사활동,"일반인, 대학생, 대학원생, 주부 및 영유아, 기타","합창 경험, 수익금 기부, 봉사시간 4시간"
2023 지속가능 환경 포럼 참가자 모집,/data/poster/2302/491894.jpeg?v=1675815519,"KOICA, 한국대학사회봉사협의회",SEA(Sustainable Environment for All),23.02.07 ~ 23.02.12,기타(캠프/강연 등),제한없음,환경 굿즈
2023년 제5기 인천시 서구 서포터즈 모집,/data/poster/2302/491895.png?v=1675814271,인천시 서구청,인천시 서구청,23.02.06 ~ 23.02.19,서포터즈·기자단·마케터,제한없음,인천서구 행사 우선 초청 및 취재 外
노원수학문화관 2023 청소년운영위원회 이꼴 3기 모집,/data/poster/2302/491896.jpg?v=1675814538,노원수학문화관,노원수학문화관,23.01.17 ~ 23.02.23,기타(캠프/강연 등),"일반인, 대학생, 중학생, 고등학생",청소년운영위원회 활동에 따른 봉사활동 시간 지급 外
미래숲 X 저스트 크래프트 2월 도토리 봉사단 모집,/data/poster/2302/491897.png?v=1675814796,(사)미래숲,(사)미래숲,23.02.07 ~ 23.02.24,봉사활동,"일반인, 대학생, 대학원생",1365 봉사시간 인증
(기간연장) 제3기 갈맷길 대학생 홍보대사 모집,/data/poster/2302/491898.png?v=1677724499,국제신문,걷고싶은부산,23.02.10 ~ 23.03.13,서포터즈·기자단·마케터,대학생,"소정의 원고료, 오프라인 활동비 지급, ID카드 및 수료증 부여, 우수활동자 시상 등"
2023 꿈의 댄스팀 거점기관 공모,/data/poster/2302/491899.jpg?v=1675815248,문화체육관광부 한국문화예술교육진흥원,문화체육관광부 한국문화예술교육진흥원,23.02.03 ~ 23.03.03,"기타(예체능, e스포츠 등)",일반인,꿈의 댄스팀 사업 운영 총괄 비용 지원
2023 뉴히어로 공모,/data/poster/2302/491900.jpg?v=1675815592,퍼블릭아트,퍼블릭아트,23.02.01 ~ 23.03.15,"기타(예체능, e스포츠 등)","일반인, 대학생, 대학원생",대상 1명 : 상장 및 순수 창작지원금 外
희망이음 블로그 만족도 조사,/data/poster/2302/491901.png?v=1675815951,희망이음,희망이음,23.02.08 ~ 23.02.26,Not found,,네이버페이
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 생활발명코리아,/data/poster/2302/491904.jpg?v=1675821875,특허청,한국여성발명협회,23.01.25 ~ 23.04.07,아이디어·창업·네이밍,기타,"발명장려금 총 1,300만원"
2023년 제1기 유청수 대학생축제기획단 모집,/data/poster/2302/491905.jpg?v=1675822698,"여성가족부, 대전광역시, 유성구",유성구청소년수련관,23.02.08 ~ 23.03.09,서포터즈·기자단·마케터,대학생,"매 활동시 봉사시간 부여, 맞춤형 역량강화 교육 外"
(기간연장) 정관장 & 동인비 이너진 서포터즈 모집,/data/poster/2302/491906.jpg?v=1676257277,KGC라이프앤진,위드컬처,23.02.06 ~ 23.02.28,서포터즈·기자단·마케터,대학생,KCC라이프앤진 본사 체험 및 KT&상상마당 내 워크샵 참여 가능 外
북하우스 서포터즈 3기 모집,/data/poster/2302/491907.PNG?v=1675835385,북하우스,북하우스,23.02.08 ~ 23.02.21,서포터즈·기자단·마케터,제한없음,"웰컴 굿즈 발송, 북하우스 신간 도서 2권 증정 外"
오뚜기 대학생 패널 2기 모집,/data/poster/2302/491908.jpg?v=1675986826,오뚜기,오뚜기,23.02.01 ~ 23.02.15,체험단·모니터링·인턴십,"대학생, 대학원생",제품 관능평가 1회 참석 시 4만원 지급 外
BMW 코리아 미래재단 대학생 기자단 모집,/data/poster/2302/491909.jpg?v=1675831186,BMW 코리아 미래재단,BMW 코리아 미래재단,23.01.30 ~ 23.02.15,서포터즈·기자단·마케터,대학생,"매월 활동비 지급, 기자단 수료증 발급 外"
2023 LOTTE GRS 트렌드리포터 19기 모집,/data/poster/2302/491910.png?v=1675831691,LOTTE GRS,LOTTE GRS,23.01.30 ~ 23.02.12,서포터즈·기자단·마케터,제한없음,LOTTE GRS 브랜드별 제품교환권 지급 外
2023년 강원도 소셜 크리에이터 모집,/data/poster/2302/491911.jpg?v=1675834286,강원도청,빛솔커뮤니케이션,23.02.08 ~ 23.02.21,서포터즈·기자단·마케터,제한없음,도에서 인정한 콘텐츠에 한하여 제작비 지원 外
[Weeks52] 시작해 봄! 봄맞이 이벤트 참여하고 선물 받자!,/data/poster/2302/491912.png?v=1675832849,Weeks52/윅스52,Weeks52/윅스52,23.02.01 ~ 23.04.30,Not found,,"에어팟 프로 2세대, 커피 기프티콘"
인권을 알리고 인권을 전하는 재능기부청년강사 모집,/data/poster/2302/491913.png?v=1675832888,서초구립방배유스센터,서초구립방배유스센터,23.02.08 ~ 23.02.23,기타(캠프/강연 등),"일반인, 대학생, 대학원생","자원봉사시간, 교육진행기회, 인권 관련 프로그램 개발에 필요한 각종 지원"
2023년 AI 면접 역량강화 및 특강,/data/poster/2302/491914.jpg?v=1675833212,한국대학사회봉사협의회,한국대학사회봉사협의회,23.02.06 ~ 23.02.21,기타(캠프/강연 등),일반인,"검사비용 전액 지원, 검사 결과 진단 外"
롯데제과 대학생 마케터 히든서포터즈 23기 모집,/data/poster/2302/491915.jpg?v=1675834082,롯데제과,롯데제과,23.02.06 ~ 23.02.19,서포터즈·기자단·마케터,대학생,최종우수자 30만원 상금지원 및 팀 상금 500만원 지원
남구청소년창작센터 청소년운영위원회 '아르띠안' 9기 모집,/data/poster/2302/491916.jpg?v=1675834433,남구청소년창작센터,"대구광역시, 대구 남구청",23.02.08 ~ 23.02.28,서포터즈·기자단·마케터,"일반인, 대학생, 중학생, 고등학생",청소년운영위원회 위촉장 및 자원봉사시간 발급 外
온라인 갤럽강점 활용 마케터 취업준비 1일 과정,/data/poster/2302/491917.jpg?v=1675834719,(주)제이앤비솔루션,고용노동부,23.02.08 ~ 23.02.16,기타(캠프/강연 등),"대학생, 대학원생, 기타","갤럽강점검사 무료제공, 수료증 발급, 수료자 모바일 쿠폰 지급, 적극 참여자 추가 사은품 제공"
대학생 서비스디자인학회 Cresol 9기 학회원 모집,/data/poster/2302/491918.png?v=1675835675,대학생서비스디자인학회 Cresol,대학생서비스디자인학회 Cresol,23.02.08 ~ 23.02.22,서포터즈·기자단·마케터,대학생,수료증 발급 및 세션 실습 교육
제4회 반도 가족사랑 그림사진 공모전,/data/poster/2302/491919.jpg?v=1675837537,반도문화재단,반도문화재단,23.02.08 ~ 23.03.11,사진·영상,제한없음,본상 28명 (총상금 570만원) + 참가상(특선/입선) 000명
연합교육봉사단체 ‘NPO 공부를 신나게’ 공신 33기 멘토 모집,/data/poster/2302/491920.jpg?v=1675846268,공신,공신,23.02.04 ~ 23.02.19,봉사활동,"일반인, 대학생, 대학원생","공신명의 수료증 발급, 활동종료 후 종강총회 우수멘토 표창 外"
2023년 KIA와 함께하는 청소년의 희망사다리 'KIA프렌토링' 멘토 모집,/data/poster/2302/491921.png?v=1675837418,서초구립방배유스센터,"서초구청, KIA주식회사",23.02.08 ~ 23.03.02,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","소정의 활동비 지급, 서초구청장 명의 수료증 발급(기준 충족 시) 外"
제4회 과천장롱사진 공모전,/data/poster/2302/491922.JPG?v=1675836484,과천문화원,과천문화원,23.04.03 ~ 23.05.31,사진·영상,제한없음,선정사진 50점 : 상금 5만원
빡공단 32기 모집,/data/poster/2302/491923.webp?v=1675837095,주식회사 텐덤,주식회사 텐덤,23.01.20 ~ 23.02.19,기타(캠프/강연 등),"일반인, 대학생, 대학원생","최종 완주시 장학금 10만원 지급(베어유 클래스 할인권),  빡공단 스터디 참여 기회 제공外"
연제 오방맛길 숏폼 영상 공모전,/data/poster/2302/491924.png?v=1675837337,연제구상권활성화재단,연제구상권활성화재단,23.01.25 ~ 23.02.24,사진·영상,제한없음,대상 : 부산 지역화폐 동백전 50만원
2023년 안성시 SNS 기자단 모집,/data/poster/2302/491925.JPG?v=1675837600,안성시,안성시,23.02.01 ~ 23.02.14,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","공식 콘텐츠로 채택시 원고료, 소통활동비, 우수콘텐츠 인센티브 지급"
2023년 KIC 중국 창업대회,/data/poster/2302/491926.png?v=1675842558,"글로벌혁신센터(중국), 북경한국중소기업협회, 대한무역 투자진흥공사(KOTRA), 한국전자통신연구원 (ETRI)","글로벌혁신센터(중국), 북경한국중소기업협회, 대한무역 투자진흥공사(KOTRA), 한국전자통신연구원 (ETRI)",23.02.08 ~ 23.03.10,아이디어·창업·네이밍,제한없음,"대상 팀 30,000 RMB 外"
신학기 학부모 고민 상담 이벤트,/data/poster/2302/491927.png?v=1675837825,아소비교육,아소비교육,23.02.01 ~ 23.02.26,기타(캠프/강연 등),일반인,교촌치킨 허니콤보웨지감자 세트 (총 5명)
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 KOREA FOCUS 3기 운영진 모집,/data/poster/2302/491929.png?v=1675839752,(주)메이드인피플,(주)메이드인피플,23.02.08 ~ 23.02.12,서포터즈·기자단·마케터,대학생,"활동비, 수료증 및 인증서, 행사 무료 참석, 기념품 제공"
하이트진로 천안/아산 대학생 서포터즈 하이파이브 통합5기 모집,/data/poster/2302/491930.JPG?v=1675840094,하이트진로,천안지점,23.02.08 ~ 23.02.19,서포터즈·기자단·마케터,대학생,최우수 서포터즈 선발시 당사 입사지원 서류전형 가점 부여 外
2023년 ICT멘토링 프로젝트 참여 대학생 모집,/data/poster/2302/491931.jpg?v=1675838592,과학기술정보통신부,"정보통신기획평가원, 한국정보산업연합회, 한국정보방통신대연합, (사)IT여성기업인협회",23.02.03 ~ 23.04.04,기타(캠프/강연 등),대학생,장학금 최대 500만원 外
은평오랑 2023년 청년도전 지원사업,/data/poster/2302/491932.jpg?v=1675839216,은평오랑,은평오랑,23.02.10 ~ 23.07.31,기타(캠프/강연 등),"일반인, 대학생, 대학원생","프로그램 이수 시, 인센티브 지급 (최대 300만원) 外"
2023 Men:P 전공멘토링 제3기 대학생 멘토 모집,/data/poster/2302/491933.png?v=1675840553,서울시청소년미디어센터 스스로그룹,서울시청소년미디어센터 스스로그룹,23.02.06 ~ 23.02.19,봉사활동,대학생,"봉사시간, 활동인증서 발급, 멘토비, 모임공간 및 촬영장비 지원"
제2회 과천문화원 과천향토사랑글 공모,/data/poster/2302/491934.JPG?v=1675840022,과천문화원,과천문화원,23.07.03 ~ 23.08.31,문학·학술·공학,제한없음,"선정글 50편 선정 (50,000원)"
코레일 NCS 7일 완성 무료 스터디 모집,/data/poster/2302/491935.jpg?v=1675840720,에듀윌,에듀윌,23.02.08 ~ 23.02.19,기타(캠프/강연 등),"일반인, 대학생, 대학원생",코레일 합격패스 무료 강의(선별 제공) 外
테팔 캐릭터 아이디어 공모전,/data/poster/2302/491936.jpg?v=1675840284,테팔,테팔,23.02.07 ~ 23.02.24,아이디어·창업·네이밍,제한없음,예선 참가자 전원 : 테팔 아이스 포스 칼 과도 11cm 外
제10회 동구장애인복지관 장애인식개선 슬로건 공모전,/data/poster/2302/491937.jpg?v=1678085689,동구장애인복지관,동구장애인복지관,23.02.13 ~ 23.03.07,아이디어·창업·네이밍,제한없음,10만원 상당 상품권 外
충청북도 청년참여기구 청년프렌즈 회원모집,/data/poster/2302/491938.jpg?v=1675840631,(재)충청북도기업진흥원,(재)충청북도기업진흥원,23.02.01 ~ 23.02.19,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",활동지원금 지원 및 소정의 회의 참석비 지급 外
국제 NGO LiNK (Liberty in North Korea) 1:1 영어 회화 프로그램 봉사자 모집,/data/poster/2302/491939.png?v=1675842123,LiNK (Liberty in North Korea),LiNK (Liberty in North Korea),23.02.06 ~ 23.02.22,봉사활동,제한없음,"봉사 확인서 발급, 여러 나라 출신 사람들과 교류의 장 外"
영상활용 UI/UX 웹디자인웹퍼블리셔 양성과정 (피그마A),/data/poster/2302/491940.png?v=1695281383,고용노동부,하이미디어아카데미,23.06.22 ~ 23.12.31,기타(캠프/강연 등),제한없음,취업지원
2024년 여주시 주민참여예산 제안사업 공모,/data/poster/2302/491941.JPG?v=1675844184,여주시,여주시,23.02.01 ~ 23.04.30,"기타(예체능, e스포츠 등)",제한없음,종합적으로 고려하여 예산에 반영
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
울산광역시 청소년활동페스타 대학교 학과체험 부스 운영팀 모집,/data/poster/2302/491944.jpg?v=1675846253,울산광역시,울산광역시청소년활동진흥센터,23.03.02 ~ 23.03.15,체험단·모니터링·인턴십,"대학생, 대학원생","부스별 최대 40만원 예산지원, 학교 및 학과 홍보, 봉사활동시간 인증 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
롯데제과 그린스푼 22기 모집,/data/poster/2302/491946.jpg?v=1675905779,롯데제과,롯데제과,23.02.06 ~ 23.02.19,기타(캠프/강연 등),"주부 및 영유아, 기타","월별활동비 및 제품 구매용 롯데제과몰 기프트카드 지급, 월별 우수활동자 포상 外"
금융 3사 직무의 이해 및 상반기 공채 TIP,/data/poster/2302/491947.jpg?v=1675908292,삼성생명,삼성생명,23.02.08 ~ 23.02.20,기타(캠프/강연 등),대학생,대외활동 수료증
과학 다시보기 청중모집,/data/poster/2302/491948.png?v=1675908270,과학기술정보통신부,과학기술정보통신부,23.02.08 ~ 23.02.12,기타(캠프/강연 등),제한없음,무료 모집
(기간연장) 취업·스펙 클럽 기역미음지읒 5기 모집,/data/poster/2302/491949.jpg?v=1677050630,기역미음지읒,기역미음지읒,23.02.01 ~ 23.03.02,기타(캠프/강연 등),"일반인, 대학생, 대학원생",기역미음지읒 수료증 발급 및 5기 특전 제공 外
2023 한국식물화가협회 Botanical Art 공모전,/data/poster/2302/491950.JPG?v=1675901584,한국식물화가협회,파버카스텔,23.03.24 ~ 23.03.25,사진·영상,"일반인, 대학생, 대학원생, 초등학생",파버카스텔상 : 상금 250만원 및 상장과 부상 外
2023년 스마트 해상물류 x ICT멘토링 프로젝트 참여대학생 모집,/data/poster/2302/491951.jpg?v=1675907989,해양수산부,"울산항만공사, 한국정보산업연합회",23.02.03 ~ 23.04.04,문학·학술·공학,대학생,"해양수산부장관상 포함 상금 총 1,230만원"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
안녕 합창봉사단 2기 청년 참여자 모집,/data/poster/2302/491953.jpg?v=1675902095,중원노인종합복지관,중원노인종합복지관,23.02.08 ~ 23.02.22,봉사활동,대학생,연습 및 공연 봉사시간 지급 外
2023년 천왕동청소년문화의집 청년멘토단 모집,/data/poster/2302/491954.jpg?v=1675902314,천왕동청소년문화의집,천왕동청소년문화의집,23.02.01 ~ 23.02.18,봉사활동,"일반인, 대학생, 대학원생",자원봉사확인서 발급 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 서초유스센터 동아리,/data/poster/2302/491956.jpg?v=1675902747,서초유스센터,서초유스센터,23.01.16 ~ 23.02.13,서포터즈·기자단·마케터,"대학생, 초등학생, 중학생, 고등학생, 기타","센터장 명의의 활동 인증서 발급, 다양한 청소년 참여 활동 운영 기회 제공 外"
2023 강남진로직업체험지원센터 대학탐방 동아리 모집,/data/poster/2302/491957.jpg?v=1678251812,강남진로직업체험지원센터,강남진로직업체험지원센터,23.02.08 ~ 23.03.24,기타(캠프/강연 등),"중학생, 고등학생","참가 및 활동비 전액 무료 지원, 봉사시간 지급 外"
성동구가족센터 홍보 서포터즈 파랑새 2기 모집,/data/poster/2302/491958.jpg?v=1675903193,성동구가족센터,성동구가족센터,23.02.08 ~ 23.02.27,서포터즈·기자단·마케터,대학생,"위촉장, 수료증 발급 外"
2023년 미디어기자단 프엠 2기 멘토 모집,/data/poster/2302/491959.jpg?v=1675903289,구립잠실청소년센터,구립잠실청소년센터,23.02.07 ~ 23.02.15,서포터즈·기자단·마케터,대학생,"봉사활동 확인서 발급, 전문가 역량 교육 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023년 2월 고즈넉이엔티 이달의 장르소설 단편소설 공모전,/data/poster/2302/491961.jpg?v=1675903477,고즈넉이엔티,고즈넉이엔티,23.02.06 ~ 23.02.27,문학·학술·공학,제한없음,"고즈넉이엔티 네트워킹 엔터사 작품 소개, 원고료 지급 外"
2023 미세먼지 바로알기 교육 안 공모전,/data/poster/2302/491962.jfif?v=1675903757,충청북도지속가능발전협의회,충청북도지속가능발전협의회,23.02.06 ~ 23.02.17,아이디어·창업·네이밍,제한없음,30만원 상당의 부상 및 충청북도 지속가능발전협의회 회장상 外
4TH 패스핵 : 메이커스페이스와 함께 하는 메이커톤,/data/poster/2302/491963.png?v=1676958827,창업진흥원,패스파인더,23.02.08 ~ 23.02.23,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타","1등 100만원, 스폰서 트랙 별 시상, 참가자 웰컴키트 제공"
2023 LS전선 기술공모,/data/poster/2302/491964.jpg?v=1675904041,LS전선,LS전선,23.02.09 ~ 23.03.03,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",기술 사업화 지원 및 전담 연구원 배정
'진짜 나 소개서' 작성법,/data/poster/2302/491965.jpg?v=1675904330,위코노미(주),위코노미(주),23.02.06 ~ 23.02.21,기타(캠프/강연 등),"일반인, 대학생, 대학원생",진짜 나 소개서 완성
청소년운영위원회 북극성 21기 모집,/data/poster/2302/491966.png?v=1675904516,영등포청소년문화의집,영등포청소년문화의집,23.01.20 ~ 23.02.20,서포터즈·기자단·마케터,"일반인, 대학생, 초등학생, 중학생, 고등학생","위촉장 발급, 역량 강화 교육 제공 外"
2023 영핸즈기자단 6기 모집,/data/poster/2302/491967.jpg?v=1675904806,(사)더 라이트 핸즈,(사)더 라이트 핸즈,23.02.27 ~ 23.03.07,서포터즈·기자단·마케터,대학생,"봉사활동 확인증 발급 및 VMS봉사시간 부여, 원고료 지급 外"
2023 자유분야 영청문 청소년동아리 대모집,/data/poster/2302/491968.png?v=1675904835,구립영등포청소년문화의집,구립영등포청소년문화의집,23.01.21 ~ 23.03.11,기타(캠프/강연 등),"일반인, 대학생, 초등학생, 중학생, 고등학생",활동 지원금 제공 外
서울시립청소년미래진로센터 미래진로 청소년 그룹 '러닝 크루' 2기 모집,/data/poster/2302/491969.png?v=1675992889,서울시립청소년미래진로센터(하자센터),서울시립청소년미래진로센터(하자센터),23.02.07 ~ 23.02.23,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 고등학생, 기타","멘토와의 만남, 물품/공간/프로젝트 지원비 지원 外"
2023년 기업 경영환경 규제 개선 공모전,/data/poster/2302/491970.jpg?v=1675905295,행정안전부,행정안전부,23.02.15 ~ 23.03.31,아이디어·창업·네이밍,제한없음,최우수 : 행정안전부 장관상 + 부상품 100만원 상당 外
2023년 '완도 가볼만한 곳' 관광사진 및 UCC 공모전,/data/poster/2302/491971.JPG?v=1675905759,완도군,완도군,23.02.01 ~ 23.10.31,사진·영상,제한없음,대상 : 상금 100만원 外
액상차 ZZOK(쪼옥) 프로모션 디자인 모집,/data/poster/2302/491972.png?v=1675911159,(주)오픈놀,(주)오픈놀,23.02.09 ~ 23.02.13,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생","수료증, 취업연계  外"
제37회 창원전국사진공모전,/data/poster/2302/491973.jpg?v=1675906126,(사)한국사진작가협회 창원지부,(사)한국사진작가협회 창원지부,23.02.09 ~ 23.03.17,사진·영상,제한없음,금상 : 사)한국사진작가협회 이사장 상장 및 상금 100만원 外
팬과 함께 하는 전북현대 응원가 공모전,/data/poster/2302/491974.jpg?v=1675929402,전북현대FC,전북현대FC,23.02.07 ~ 23.06.23,"기타(예체능, e스포츠 등)",제한없음,최우수작 : 상금 600만원 外
2023년 안양시 규제혁신과제 공모,/data/poster/2302/491975.jpg?v=1675907271,안양시,안양시,23.02.01 ~ 23.03.31,아이디어·창업·네이밍,제한없음,최우수 : 상장 + 시상금 50만원 外
2023년 홍천군 마을축제 네이밍 공모전,/data/poster/2302/491976.jpg?v=1675907493,"사단법인 홍천농촌지역관광사업단, 홍천농촌문화터미널","사단법인 홍천농촌지역관광사업단, 홍천농촌문화터미널",23.02.07 ~ 23.02.15,아이디어·창업·네이밍,제한없음,1등 : 25만원 상당 문화상품권 外
전주시민축구단 마스코트 캐릭터 공모전,/data/poster/2302/491977.jpg?v=1675916373,전주시민축구단,전주시민축구단,23.02.09 ~ 23.02.19,디자인·그림·웹툰,제한없음,당선 마스코트 활용 굿즈 및 상장
2023년 제주 해양수산 창업 아이디어 공모전,/data/poster/2302/491978.JPG?v=1675907782,(재)제주테크노파크,(재)제주테크노파크,23.01.26 ~ 23.02.28,아이디어·창업·네이밍,제한없음,대상 : 상금 300만원 外
2023 대학생멘토단 달꿈 모집,/data/poster/2302/491979.jpg?v=1675907993,(주)달꿈,(주)달꿈,23.02.08 ~ 23.12.31,기타(캠프/강연 등),대학생,강의경력증명서 발급 外
2023년 제8회 계간 시와산문 신인문학상 현상공모,/data/poster/2302/491980.jfif?v=1675908552,시와산문사,시와산문사,23.02.09 ~ 23.03.31,문학·학술·공학,제한없음,"최대 5,000,000원 外"
2023 웹툰  웹소설 입춘 공모전,/data/poster/2302/491981.jpg?v=1675908854,봄툰,봄툰,22.11.21 ~ 23.02.28,디자인·그림·웹툰,제한없음,"개나리(웹툰1명) : 1,000만원 外"
2023년 서울시 뉴딜일자리 사업 기술 개방형 혁신 전문가 양성과정,/data/poster/2302/491982.jpg?v=1679469451,서울시,한국기술사업화협회,23.02.09 ~ 23.03.31,기타(캠프/강연 등),"일반인, 대학생","정규직 취업, 다양한 경험"
2023 18회 부산국제어린이청소년영화제 작품 공모,/data/poster/2302/491983.png?v=1675909180,(사)부산국제어린이청소년영화제,(사)부산국제어린이청소년영화제,23.02.13 ~ 23.03.20,사진·영상,"초등학생, 중학생, 고등학생, 주부 및 영유아",국내 각 부문에 3개의 본상 外
