대외활동명,포스터,주최,주관,접수기간,분야,응모대상,혜택
미국 고등학생들의 홈스테이 가정 모집,/data/poster/2301/490462.jpg?v=1673309096,미국 국무부,사단법인 더나은세상,23.01.02 ~ 23.01.15,봉사활동,"일반인, 주부 및 영유아, 기타",홈스테이 1명 당 지원금 지급
비전공자도 마케터 되는 8주 집중코스 '마케팅러너' 3기 모집,/data/poster/2301/490463.jpg?v=1672805000,그로스쿨,그로스쿨,23.01.05 ~ 23.01.19,기타(캠프/강연 등),"일반인, 대학생, 대학원생",실제 마케팅 전략 수립 및 실행
﻿인재양성 HR연구소 전기차배터리 공정 탐방,/data/poster/2301/490464.gif?v=1672805221,산업통상자원부 / 경기대진테크노파크 / KIAT,산업통상자원부 / 경기대진테크노파크 / KIAT,23.01.04 ~ 23.01.12,기타(캠프/강연 등),대학생,전기차배터리 산업에 대한 실무정보 취득 外
발달장애인 디자인 아트 예술단 잇다 프렌즈 모집,/data/poster/2301/490465.jpg?v=1672805232,사회복지법인 성민,moosoohee,23.01.03 ~ 23.01.12,봉사활동,제한없음,"수료증, 봉사활동 시간, 식사제공, 기념품 증정"
체험실무현장 14기 콘텐츠 디자인 편,/data/poster/2301/490466.jpg?v=1673341923,고용노동부,(주)오픈놀,23.01.04 ~ 23.01.15,기타(캠프/강연 등),"일반인, 대학생, 대학원생","수료증, 현직자 멘토링"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
취업준비생을 위한 달러의 이해 교육,/data/poster/2301/490468.png?v=1672806055,삼성금융네트웍스,삼성생명,23.01.03 ~ 23.01.06,기타(캠프/강연 등),"대학생, 대학원생, 기타",참가자 전원 스타벅스 상품권 지급
2023 울산관광기업지원센터 관광스타트업 창업 아카데미 및 아이디어톤 참가자 모집,/data/poster/2301/490469.png?v=1672810101,"문화체육관광부, 한국관광공사, 울산광역시","울산관광재단, 울산관광기업지원센터",22.12.28 ~ 23.01.25,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",대상 100만원 外
"클라우드 융합 자바 스프링 백엔드 개발자 1, 2월",/data/poster/2301/490470.jpg?v=1672809004,아이티윌 부산교육센터,고용노동부,23.01.04 ~ 23.02.20,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타","활동참여/활동비 지원, 기타(취업연계, 전액국비)"
2023 코리아+스웨덴 영디자인어워드,/data/poster/2301/490471.jpg?v=1673329610,"한국디자인진흥원, 주한스웨덴대사관, 이케아코리아","한국디자인진흥원, 주한스웨덴대사관, 이케아코리아",23.01.02 ~ 23.04.07,디자인·그림·웹툰,제한없음,스웨덴 디자인 견학 기회 제공(스웨덴 이케아 본사 방문 등) 外
프랑코 폰타나: 컬러 인 라이프 2차 서포터즈 모집,/data/poster/2301/490472.jpg?v=1672809640,(주)사야컴퍼니,(주)사야컴퍼니,23.01.02 ~ 23.01.16,서포터즈·기자단·마케터,제한없음,미션 수행을 위한 전시 무료 초대(동반 1인 포함) 外
비탈와인 1기 대학생 서포터즈 모집,/data/poster/2301/490473.jpg?v=1672810414,비탈와인,비탈와인,23.01.01 ~ 23.01.31,서포터즈·기자단·마케터,대학생,월 1~3명 비탈 와인 제공 外
위올라잇 원고 투고 대행 공모,/data/poster/2301/490474.jpg?v=1672812612,주식회사 키픽스,주식회사 키픽스,23.01.04 ~ 23.01.13,문학·학술·공학,제한없음,원고 투고 대행
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
서울산업진흥원 ‘서울 중소기업 워케이션 프로젝트’ 슬로건 공모전,/data/poster/2301/490476.jpg?v=1672994788,서울산업진흥원,서울산업진흥원,23.01.02 ~ 23.01.25,아이디어·창업·네이밍,제한없음,1등 상금 100만원 및 최우수 기관 표창(1명) 外
엑센트리로켓단 스타트업 밸류업 프로그램 수혜기업 모집,/data/poster/2301/490477.jpg?v=1672813004,엑센트리벤처스,엑센트리벤처스,23.01.04 ~ 23.01.13,"기타(예체능, e스포츠 등)",기타,
24회 무영신인문학상 공모,/data/poster/2301/490478.jpg?v=1672813408,동양일보,동양일보,23.01.04 ~ 23.02.28,문학·학술·공학,기타,상금 500만원
춘천종합사회복지관 2023년 홍보단 '다울이' 서포터즈 모집,/data/poster/2301/490479.png?v=1672819515,춘천종합사회복지관,춘천종합사회복지관,23.01.03 ~ 23.02.10,서포터즈·기자단·마케터,기타,VMS 봉사시간 부여 外
엽기떡볶이 미스터리 쇼퍼 엽떡크루 3기 모집,/data/poster/2301/490480.jpg?v=1672972671,엽기떡볶이,엽기떡볶이,23.01.04 ~ 23.01.15,체험단·모니터링·인턴십,제한없음,웰컴 키트 제공(캐릭터 굿즈 포함) 外
엽기떡볶이 서포터즈 엽포터즈 5기 모집,/data/poster/2301/490481.jpg?v=1672972694,엽기떡볶이,엽기떡볶이,23.01.04 ~ 23.01.15,서포터즈·기자단·마케터,제한없음,"매월 엽기떡볶이 앱 전용 쿠폰(14,000원) 4장 제공 外"
후디스 '소화 편한 우유' 체험단 모집,/data/poster/2301/490482.jpg?v=1672822809,후디스 라이프,후디스 라이프,23.01.04 ~ 23.01.13,체험단·모니터링·인턴십,제한없음,소화 편한 우유 바나나1Box(24개입)
달리코칭 서포터즈 2기 모집,/data/poster/2301/490483.jpg?v=1672821350,달리코칭,달리코칭,23.01.04 ~ 23.01.26,서포터즈·기자단·마케터,주부 및 영유아,온라인 1:1 자녀 양육코팅 체험(총 6회) 外
제13회 광주펫쇼 서포터즈 모집,/data/poster/2301/490484.jpg?v=1672821845,광주펫쇼,광주펫쇼,23.01.02 ~ 23.01.08,서포터즈·기자단·마케터,제한없음,<제13회 광주펫쇼> 무료입장권 20매 外
논리의탑 팩트체크 프로젝트 팀원 모집,/data/poster/2301/490485.png?v=1672877040,논리의탑 프로젝트,논리의탑 프로젝트,23.01.04 ~ 23.02.04,기타(캠프/강연 등),제한없음,개인 역량 증대
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
제18회 부산국제어린이청소년영화제 어린이청소년집행위원 비키즈 공개 모집,/data/poster/2301/490487.png?v=1672877189,(사)부산국제어린이청소년영화제,(사)부산국제어린이청소년영화제,23.01.04 ~ 23.01.24,서포터즈·기자단·마케터,"초등학생, 고등학생",
​2023 블랙야크청년셰르파 Y.A.K.프로젝트 8기 모집,/data/poster/2301/490488.jpg?v=1672881526,블랙야크강태선나눔재단,블랙야크강태선나눔재단,23.01.04 ~ 23.02.03,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",봉사활동 VMS 시간 인증 外
거제YMCA 청소년 영상 크리에이터 동아리원 모집,/data/poster/2301/490489.jpg?v=1672878362,거제YMCA,거제YMCA,22.12.27 ~ 23.01.20,기타(캠프/강연 등),"중학생, 고등학생",매회 자원봉사시간 지급 外
2023년 제3회 리틀 스토리킹,/data/poster/2301/490490.PNG?v=1672878472,리틀 스토리킹,리틀 스토리킹,23.01.02 ~ 23.03.31,문학·학술·공학,제한없음,"상패와 상금 1,000만원"
프리미엄 비건 뷰티 브랜드 오하운 온라인 서포터즈 1기 모집,/data/poster/2301/490491.jpg?v=1672878166,오하운,오하운,23.01.02 ~ 23.01.23,서포터즈·기자단·마케터,제한없음,자사 제품 무료 체험 外
2023 창비신인문학상,/data/poster/2301/490492.PNG?v=1672878436,창비,창비,23.01.01 ~ 23.05.31,문학·학술·공학,제한없음,상금 1000만원 外
청소년동아리연합 '몽쉘' 동아리 모집,/data/poster/2301/490493.png?v=1672879742,대구광역시청소년수련원,대구광역시청소년수련원,23.01.01 ~ 23.12.31,기타(캠프/강연 등),"대학생, 초등학생, 중학생, 고등학생","활동공간 및 필요물품 지원, 다양한 대외활동 참여 기회, 워크숍 등 연합활동"
청소년 환경동아리 지구재구 2기 모집,/data/poster/2301/490494.jpg?v=1672883687,시립광진청소년센터,시립광진청소년센터,23.01.01 ~ 23.01.28,기타(캠프/강연 등),대학생,"퍼실리테이터 교육, 활동증명서 발급, 봉사활동기간 지급"
지에스씨 공식 서포터즈 그린비너 7기 모집,/data/poster/2301/490495.jpg?v=1672884841,GSC,GSC,23.01.04 ~ 23.01.18,서포터즈·기자단·마케터,제한없음,원두 및 생두 증정 外
동네핫플 서포터즈 쩝쩝박사 13기 모집,/data/poster/2301/490496.png?v=1672885614,부산 커뮤니티,부산 커뮤니티,23.01.04 ~ 23.02.08,서포터즈·기자단·마케터,제한없음,"행사 참여, 수료증 및 인증서"
KT&G복지재단 아카데미 대학생 역량 강화 교육,/data/poster/2301/490497.png?v=1672959216,KT&G복지재단,KT&G상상마당,23.01.04 ~ 23.01.16,기타(캠프/강연 등),대학생,"교구 및 강의, 간식 등 일체 무료 제공, 교육 종료 후 수료증 발급"
2023년 광진청소년센터 청소년축제기획단 모집,/data/poster/2301/490498.jpg?v=1672891498,시립광진청소년센터,서울특별시,23.01.01 ~ 23.01.23,서포터즈·기자단·마케터,대학생,"기획단 활동 증명서 발급,  봉사활동 시간 인정,  축제 기획 예산 지원,  친목 도모 및 교류"
2022 개정교육과정 맞춘 2024 생기부세특 생기부대체서식 강연회,/data/poster/2301/490499.jpg?v=1672892174,권현교육,권현아카데미,23.01.05 ~ 23.01.12,기타(캠프/강연 등),"중학생, 고등학생, 주부 및 영유아",2022 개정교육과정에 맞춘 2024 생기부 세특 / 생기부대체서식 개인상담
2023 도봉청소년누리터위드 청소년운영위원회 위드유 신규 위원 모집,/data/poster/2301/490500.jpg?v=1675818408,도봉청소년누리터위드,도봉구청,23.02.08 ~ 23.02.21,봉사활동,"일반인, 대학생, 중학생, 고등학생",활동 내용에 따른 봉사시간 外
썸블라썸 서포터즈 1기 모집,/data/poster/2301/490501.jpg?v=1672891785,썸블라썸,썸블라썸,23.01.02 ~ 23.01.11,서포터즈·기자단·마케터,제한없음,"매달 썸블라썸 제품, 자사 제품 추가 증정 外"
장수군 인구정책 전국민 아이디어 공모전,/data/poster/2301/490502.jpg?v=1672892675,전라북도 장수군,전라북도 장수군,23.01.02 ~ 23.01.18,아이디어·창업·네이밍,제한없음,금상 100만원 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023년도 계룡시 정책 어워드 제안제도 운영,/data/poster/2301/490505.jpg?v=1672893054,계룡시,계룡시,23.01.01 ~ 23.12.31,아이디어·창업·네이밍,제한없음,금상 150만원 外
산청군 인구활력 아이디어 공모,/data/poster/2301/490506.jpg?v=1672893400,경상남도 산청군,경상남도 산청군,23.01.02 ~ 23.01.31,아이디어·창업·네이밍,기타,최우수 100만원 外
포디블록 구조 추출 AI 경진대회,/data/poster/2301/490507.png?v=1672894091,"포디랜드, AI Frenz",데이콘,23.01.02 ~ 23.01.30,문학·학술·공학,제한없음,"총상금 1,000만원"
제주의 새로운 Day Club BI 공모전,/data/poster/2301/490508.jpg?v=1672895974,(주) 모든사람들,(주) 모든사람들,23.01.09 ~ 23.01.31,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",대상 100만원 外
MBN Y 포럼 2023 얼리버드 티켓 소문내기 이벤트,/data/poster/2301/490509.png?v=1672896862,"MBN, 매일경제","MBN, 매일경제",23.01.04 ~ 23.01.15,Not found,,-
2023 대구시청소년문화의집 꼼지락발전소 메이커스페이스 서포터즈 모집,/data/poster/2301/490510.jpg?v=1672898171,대구시청소년문화의집 꼼지락발전소,대구시청소년문화의집 꼼지락발전소,23.01.06 ~ 23.01.31,기타(캠프/강연 등),대학생,"위촉장, 활동증명서(활동 70% 이상 참여시)"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
100% 성공하는 자기개발 콘텐츠 1월 참여자 모집,/data/poster/2301/490512.png?v=1672899717,Weeks52/윅스52,Weeks52/윅스52,23.01.02 ~ 23.01.16,서포터즈·기자단·마케터,제한없음,3만원 상당의 사은품 증정
제5기 울산큰애기 사회적소통망 홍보단 모집,/data/poster/2301/490513.jpg?v=1672898761,울산광역시 중구,울산광역시 중구,23.01.04 ~ 23.01.13,서포터즈·기자단·마케터,제한없음,"분기별 우수 콘텐츠 선정 후 울산큰애기 공식 SNS언급, 인센티브 지급"
본엔젤스 2023년 상반기 초심캠프 5기 모집,/data/poster/2301/490514.jpg?v=1672900689,본엔젤스벤처파트너스,본엔젤스벤처파트너스,23.01.01 ~ 23.02.05,아이디어·창업·네이밍,제한없음,최대 3억원의 투자유치 外
굿네이버스 인천서부지부 세계시민교육 강사 모집,/data/poster/2301/490515.png?v=1672903848,굿네이버스 인천서부지부,굿네이버스,23.01.05 ~ 23.01.31,봉사활동,"일반인, 대학생, 대학원생",강사활동비 지급 外
2023 보헤리 CAT'S 1기 서포터즈 모집,/data/poster/2301/490516.png?v=1672904121,보헤리,보헤리,23.01.06 ~ 23.01.31,서포터즈·기자단·마케터,제한없음,"자사 제품 무료 제공, 최우수자 10만원 상당 혜택 지원"
KGC라이프앤진 이너진 비즈니스 서포터즈 모집,/data/poster/2301/490517.png?v=1672904277,씽크리에이티브,씽크리에이티브,23.01.05 ~ 23.01.27,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 주부 및 영유아","소정의 활동비 제공, 제품 제공, 우수인원 선정 시 경품 제공"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
대한민국청소년기자단 제 22기 기자 모집,/data/poster/2301/490519.png?v=1672904581,대한민국청소년기자단,대한민국청소년기자단,23.01.05 ~ 23.02.05,서포터즈·기자단·마케터,"중학생, 고등학생",대한민국청소년기자단 위촉장 및 기자증 발급 外
더하고 나누고 함께 만드는 젊은 언론 '미디어유스' 기자단 23년 1분기 모집,/data/poster/2301/490520.jpg?v=1672905906,미디어유스,미디어유스,23.01.05 ~ 23.03.31,서포터즈·기자단·마케터,제한없음,위촉장 및 기자증 발급 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
제1회 교통분야 창업 아이디어 공모전,/data/poster/2301/490522.png?v=1672906004,양주시,경기교통공사,23.01.03 ~ 23.02.01,디자인·그림·웹툰,"일반인, 대학생, 기타",3천만원~1천만원
한국가스공사 제5기 KOGAS-Tech 2U 대학생서포터즈 모집,/data/poster/2301/490523.jpg?v=1672906389,한국가스공사,한국가스공사,22.12.28 ~ 23.02.06,서포터즈·기자단·마케터,대학생,KOGAS-Tech 대학생 서포터즈 위촉장 및 수료증 발급 外
2023 춘천여행 서포터즈 모집,/data/poster/2301/490524.png?v=1672908037,춘천시청년청,춘천시청년청,23.01.05 ~ 23.01.26,서포터즈·기자단·마케터,제한없음,웰컴춘천키트 증정 外
ONSO MEDIA CONTEST 2023,/data/poster/2301/490525.jpg?v=1673252054,현대차 정몽구 재단 / 온드림 소사이어티,현대차 정몽구 재단 / 온드림 소사이어티,23.01.04 ~ 23.01.31,사진·영상,"일반인, 대학생, 대학원생",현대차 정몽구 재단 온드림 소사이어티 대형 LED 영상 전시 기회(1년) 外
종근당바이오 에브리바이옴 루틴즈 1기 서포터즈 조기마감 안내,/data/poster/2301/490526.JPG?v=1673568853,(주)리프이노베이션,(주)리프이노베이션,23.01.06 ~ 23.01.13,서포터즈·기자단·마케터,제한없음,종근당 에브리바이옴 자사 브랜드 제품 사용 기회 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
에이콘3D 신규 모델 공모전,/data/poster/2301/490529.png?v=1672963513,에이콘3D,에이콘3D,23.01.02 ~ 23.02.10,디자인·그림·웹툰,제한없음,1위: 상금 100만원 外
데스커 디자인스토어 Starter's Gallery 23년도 상반기 전시 작가,/data/poster/2301/490530.jpg?v=1672964124,데스커,데스커,23.01.04 ~ 23.01.31,사진·영상,"일반인, 대학생",작가지원금: 최대 250만 원 작가지원금 제공 外
DNA NFT 아이디어 공모전,/data/poster/2301/490531.jpg?v=1672964797,"Medi Cloud, AKASIC","Medi Cloud, AKASIC",23.01.06 ~ 23.02.10,아이디어·창업·네이밍,제한없음,"총상금 2,000만원 外"
KT&G복지재단 아름드리 협력동아리 신규 모집,/data/poster/2301/490532.png?v=1672967346,KT&G복지재단,KT&G복지재단,23.01.04 ~ 23.01.30,봉사활동,대학생,대학생 자원봉사 동아리 활동 지원
청년이 바라보는 지금 트렌드 '청바지' 청년 모집,/data/poster/2301/490533.png?v=1672968655,청바지,청바지,23.01.06 ~ 23.01.20,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 기타",교육 프로그램 진행(메타버스 기본 등) 外
[종근당바이오] 2023년 오늘부터 갓생일기,/data/poster/2301/490534.png?v=1672967857,(주)리프이노베이션,(주)리프이노베이션,23.01.01 ~ 23.01.31,Not found,,에브리바이옴 릴렉스 유산균 1박스(2개월분)
한국문화 홍보단 단원모집,/data/poster/2301/490535.jpg?v=1672969063,조은문화마을,조은문화마을,23.01.06 ~ 23.01.11,서포터즈·기자단·마케터,"대학생, 기타",1365 포털 명의 봉사시간 인정 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
데싱디바 23년도 상반기 서포터즈 모집,/data/poster/2301/490538.jpg?v=1672978090,데싱디바,데싱디바,23.01.06 ~ 23.01.20,서포터즈·기자단·마케터,"대학생, 대학원생, 기타",최종 우수 활동자 최대 100만 원 장학금 지급 및 인턴십 서류 전형 면제 外
2023 소셜 취업 플러스 프로젝트,/data/poster/2301/490539.png?v=1673229444,"(사) 함께만드는세상, 생명보험 사회공헌위원회, Around",(사) 함께만드는세상,23.01.06 ~ 23.03.30,기타(캠프/강연 등),제한없음,"무료수강, 우수 참여자 기프티콘 증정"
생활공작소 '생공적 일상' 1기 모집,/data/poster/2301/490540.jpg?v=1673504994,생활공작소,생활공작소,23.01.06 ~ 23.01.15,서포터즈·기자단·마케터,제한없음,소비자가 기준 30만원 상당의 생활공작소 제품 제공 外
2023년 굿네이버스 부산지역 대학생 자원봉사 동아리원 모집,/data/poster/2301/490541.png?v=1672978180,굿네이버스 부산울산경남본부,굿네이버스 부산울산경남본부,23.01.06 ~ 23.01.31,봉사활동,대학생,"VMS 자원봉사시간 인정, 우수자원봉사자 시상 및 활동 수료증 발급 外"
보림출판사 대학생 서포터즈 아티비터스 13기 모집,/data/poster/2301/490542.jpg?v=1672983266,(주)보림출판사,(주)보림출판사,23.01.06 ~ 23.01.24,서포터즈·기자단·마케터,대학생,"원하는 그림책 매월 3권씩 증정, 소정의 활동비 지급 外"
삼성물산 에버랜드 기념일서비스 '순간' SNS 서포터즈 모집,/data/poster/2301/490543.jpg?v=1672983511,삼성물산(주) 에버랜드리조트,삼성물산(주) 에버랜드리조트,23.01.06 ~ 23.01.16,서포터즈·기자단·마케터,대학생,"활동 지원금, 서포터즈 수료증 발급"
학교밖청소년을 위한 대학생 멘토 '꿈리더' 1기 모집,/data/poster/2301/490544.jpg?v=1672983770,남동구학교밖청소년지원센터,한국청소년상담복지개발원,23.01.05 ~ 23.01.20,서포터즈·기자단·마케터,"대학생, 대학원생",활동 내용에 따른 봉사활동 시간 지급  外
에브리웨이 '월간 웹소설' 1월 공모전,/data/poster/2301/490545.jpg?v=1672985213,에브리웨이,에브리웨이,23.01.05 ~ 23.01.25,문학·학술·공학,제한없음,이달의 웹 소설 200만 원 外
내셔널지오그래픽 키즈 서포터즈 1기 모집,/data/poster/2301/490546.jpg?v=1672986786,퍼블위즈,퍼블위즈,23.01.05 ~ 23.01.11,서포터즈·기자단·마케터,"주부 및 영유아, 기타",내셔널지오그래픽 키즈 2월호 + 캘린더 + 키즈 구독권 (3개월) 外
채식플랜 신제품 체험단 모집,/data/poster/2301/490547.jpg?v=1672987770,내일식사,내일식사,23.01.06 ~ 23.01.12,체험단·모니터링·인턴십,제한없음,채식플랜 신제품 체험기회 제공
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023년 제9기 J 카운실 모집,/data/poster/2301/490549.jpg?v=1672994648,JTBC,JTBC,23.01.06 ~ 23.01.15,서포터즈·기자단·마케터,"대학생, 대학원생","기자, PD 등 현업 방송인 멘토링 및 간담회 참석 기회 제공 外"
JTBC 공식 서포터즈 '스토리퀸' 11기 모집,/data/poster/2301/490550.png?v=1673855381,JTBC,JTBC,23.01.02 ~ 23.01.24,서포터즈·기자단·마케터,기타,JTBC VOD 연간 이용권 증정  外
복약보조식품 ‘오브라토’ 홍보 영상 공모전,/data/poster/2301/490551.png?v=1674193550,(주)복지유니온,(주)슬레이트미디어,23.01.06 ~ 23.02.17,사진·영상,제한없음,1등 150만 원 外
2023 청음복지관 개별멘토링 멘토 모집,/data/poster/2301/490552.jpg?v=1673222554,청음복지관,청음복지관,23.01.03 ~ 23.12.31,봉사활동,"일반인, 대학생, 대학원생",봉사시간 지급
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
체험실무현장 15기 콘텐츠 기획 직무 편,/data/poster/2301/490554.jpg?v=1673222853,고용노동부,(주)오픈놀,23.01.06 ~ 23.01.17,기타(캠프/강연 등),"일반인, 대학생, 대학원생","수료증, 현직자 멘토링 外"
