대외활동명,주최,주관,접수기간,분야,응모대상,혜택,조회수
서리풀청년예술단 서초M.스타즈 4기 모집,서초구,(재)서초문화재단,24.05.13 ~ 24.06.16,기타(캠프/강연 등),"일반인, 대학원생, 기타 (음악대학 학부이상 졸업생)",매월 소정의 활동비 제공 및 다양한 프로그램 참여,0
2024 월드 리더스컨퍼런스 프로젝트 기획팀 모집,IYF국제청소년연합,유니브리더스,24.03.25 ~ 24.06.16,서포터즈·기자단·마케터,"대학생, 대학원생","세계 청소년장관 표창 시상, 세계 대학총장 표창 시상 外",0
수도권 대학 연합 독서 동아리 'NEXT PAGE'에서 3기 부원을 모집합니다.,넥스트 페이지,넥스트 페이지,24.05.17 ~ 24.06.17,기타(캠프/강연 등),"대학생, 기타 (휴학생)","독서 습관, 교류 문화",0
틱톡 디지털 리터러시 서포터즈 틱톡튜터(ㅌㅌㅌㅌ) 모집,틱톡코리아,타이밍포올,24.05.18 ~ 24.06.16,서포터즈·기자단·마케터,"대학생, 대학원생","매월 활동비(팀당 100만 원) 및 회의실 제공, 활동증명서 外",0
국내 무인도 여행  아일랜두잇 3기 참가자 모집,(주)오알엔,(주)오알엔,24.05.17 ~ 24.06.30,기타(캠프/강연 등),"일반인, 대학생, 대학원생","섬탐사, 스노쿨링, 낚시 등 다양한 콘텐츠의 게임",0
4주 만에 소설가로서의 첫 스텝을 밟는 법,글 ego,글 ego,24.05.17 ~ 24.06.21,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 주부 및 영유아",4주 만에 소설가로서의 첫 스텝을 밟는 법,0
멘토링&강연 교육기부 봉사단 12기 신입단원 모집,멘봉단,멘봉단,24.05.17 ~ 24.06.22,봉사활동,대학생,"멘봉 키트 제공, 임명장, 수료증, 봉사활동 확인서 발급 가능 外",0
뉴진스님 극락왕생 리믹스 콘테스트,써밋플레이,써밋플레이,24.05.20 ~ 24.06.14,"기타(예체능, e스포츠 등)",제한없음,총상금 100만원 및 음원발매,0
삼성웰스토리 '웰스토리텔러' 서포터즈 모집,삼성웰스토리,삼성웰스토리,24.05.20 ~ 24.06.23,서포터즈·기자단·마케터,대학생,"월별 활동비 지급, 우수 활동자 상금 지급 外",0
유데미x웅진씽크빅x스나이퍼팩토리 UI/UX 인턴형 프로그램 과정 4기,웅진씽크빅 X 인사이드아웃,고용노동부 X 대한상공회의소,24.05.20 ~ 24.06.16,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생","무료 직무교육 + 인턴수당 2,912,500원 지급",0
코드잇 스프린트 프론트엔트 부트캠프 9기 모집,코드잇 스프린트,코드잇 스프린트,24.06.17 ~ 24.06.17,기타(캠프/강연 등),기타 (국민내일배움카드 발급 가능하신 분 누구나),"수강비 무료, 훈련장려금 최대 월 31.6만원 지급 外",0
현대엔지니어링 미래기술교육 대학생 봉사단 모집,현대엔지니어링,사단법인 좋은변화,24.05.20 ~ 24.06.16,봉사활동,대학생,장학금 지급/임직원 멘토링/모의면접 피드백,0
여신금융협회 제8기 서포크레딧 대학생 신용홍보단 모집,여신금융협회,여신금융협회,24.05.20 ~ 24.06.14,서포터즈·기자단·마케터,대학생,여신금융협회 신용홍보단 위촉장 및 홍보단원증 제공 外,0
2024 프로젝트형 일 경험 프로그램,(사)인재육성아카데미,고용노동부/대한상공회의소,24.05.20 ~ 24.06.20,기타(캠프/강연 등),"일반인, 대학생","수당 지급, 프로젝트실행비 지급, 수료증 발급",0
